miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	176300	18979.617850	N
hsa-let-7a-2	172818	18604.762323	Y
hsa-let-7a-3	173216	18647.609106	N
hsa-let-7b	55960	6024.386925	N
hsa-let-7c	35142	3783.220252	Y
hsa-let-7d	30856	3321.809917	N
hsa-let-7e	16035	1726.251686	N
hsa-let-7f-1	175576	18901.675460	N
hsa-let-7f-2	186759	20105.583948	N
hsa-let-7g	183157	19717.809793	N
hsa-let-7i	65803	7084.037399	N
hsa-mir-1-1	2313	249.006557	N
hsa-mir-1-2	2500	269.138086	N
hsa-mir-100	21725	2338.809970	Y
hsa-mir-101-1	58959	6347.244973	N
hsa-mir-101-2	61880	6661.705913	N
hsa-mir-103a-1	85125	9164.151840	Y
hsa-mir-103a-2	88875	9567.858970	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	406	43.708025	Y
hsa-mir-106b	16689	1796.658209	N
hsa-mir-107	13333	1435.367242	Y
hsa-mir-10a	135724	14611.399053	N
hsa-mir-10b	360486	38808.204879	N
hsa-mir-1178	1	0.107655	N
hsa-mir-1179	16	1.722484	N
hsa-mir-1180	1176	126.602556	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.215310	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.322966	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5176	557.223494	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	34	3.660278	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	32	3.444968	N
hsa-mir-1229	17	1.830139	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.107655	N
hsa-mir-124-1	61	6.566969	N
hsa-mir-124-2	67	7.212901	N
hsa-mir-124-3	70	7.535866	N
hsa-mir-1243	2	0.215310	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.430621	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	114	12.272697	N
hsa-mir-1248	20	2.153105	N
hsa-mir-1249	135	14.533457	N
hsa-mir-1250	21	2.260760	N
hsa-mir-1251	5	0.538276	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	8	0.861242	N
hsa-mir-1254-2	5	0.538276	N
hsa-mir-1255a	19	2.045449	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.322966	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	222449	23947.799269	N
hsa-mir-125b-1	53994	5812.736734	N
hsa-mir-125b-2	55236	5946.444535	N
hsa-mir-126	218378	23509.534809	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	15	1.614829	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	16	1.722484	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	1	0.107655	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	396	42.631473	N
hsa-mir-1270	205	22.069323	N
hsa-mir-1271	3404	366.458418	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.107655	N
hsa-mir-1275	1	0.107655	N
hsa-mir-1276	1	0.107655	N
hsa-mir-1277	6	0.645931	N
hsa-mir-1278	8	0.861242	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4182	450.214191	N
hsa-mir-128-2	2715	292.283962	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	10	1.076552	N
hsa-mir-1285-1	1	0.107655	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	54	5.813383	N
hsa-mir-1288	1	0.107655	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	4	0.430621	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	34	3.660278	N
hsa-mir-1292	34	3.660278	N
