miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	326493	26181.519525	N
hsa-let-7a-2	315768	25321.480268	Y
hsa-let-7a-3	317304	25444.652324	N
hsa-let-7b	101727	8157.502417	N
hsa-let-7c	36685	2941.775302	Y
hsa-let-7d	64137	5143.155038	N
hsa-let-7e	38966	3124.689013	N
hsa-let-7f-1	302650	24269.546006	N
hsa-let-7f-2	321874	25811.121266	N
hsa-let-7g	292796	23479.352362	N
hsa-let-7i	97606	7827.038848	N
hsa-mir-1-1	2579	206.810372	N
hsa-mir-1-2	2646	212.183112	N
hsa-mir-100	92132	7388.078020	Y
hsa-mir-101-1	81062	6500.373165	N
hsa-mir-101-2	85020	6817.765741	N
hsa-mir-103a-1	122090	9790.414247	Y
hsa-mir-103a-2	127249	10204.115182	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.080190	N
hsa-mir-105-2	1	0.080190	N
hsa-mir-106a	297	23.816472	Y
hsa-mir-106b	25260	2025.602948	N
hsa-mir-107	18984	1522.329626	Y
hsa-mir-10a	265909	21323.280056	N
hsa-mir-10b	539564	43267.712940	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	9	0.721711	N
hsa-mir-1180	1434	114.992661	N
hsa-mir-1181	2	0.160380	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	0.721711	N
hsa-mir-1185-2	8	0.641521	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.400951	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1173	94.063035	N
hsa-mir-1224	2	0.160380	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	41	3.287796	N
hsa-mir-1227	1	0.080190	N
hsa-mir-1228	29	2.325514	N
hsa-mir-1229	43	3.448176	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	7	0.561331	N
hsa-mir-1236	2	0.160380	N
hsa-mir-1237	3	0.240570	N
hsa-mir-1238	4	0.320761	N
hsa-mir-124-1	133	10.665289	N
hsa-mir-124-2	142	11.387000	N
hsa-mir-124-3	117	9.382246	N
hsa-mir-1243	1	0.080190	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	8	0.641521	N
hsa-mir-1245b	2	0.160380	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	16	1.283042	N
hsa-mir-1248	8	0.641521	N
hsa-mir-1249	321	25.741035	N
hsa-mir-1250	42	3.367986	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	8	0.641521	N
hsa-mir-1254-2	10	0.801901	N
hsa-mir-1255a	24	1.924563	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.160380	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	262395	21041.491902	N
hsa-mir-125b-1	67834	5439.617987	N
hsa-mir-125b-2	67950	5448.920043	N
hsa-mir-126	166882	13382.291018	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	46	3.688746	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	50	4.009507	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	0.481141	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.080190	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	752	60.302986	N
hsa-mir-1270	2535	203.282006	N
hsa-mir-1271	1788	143.379971	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	4	0.320761	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.160380	N
hsa-mir-1275	7	0.561331	N
hsa-mir-1276	4	0.320761	N
hsa-mir-1277	3	0.240570	N
