miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	417403	21017.460329	N
hsa-let-7a-2	410166	20653.056239	Y
hsa-let-7a-3	411520	20721.234094	N
hsa-let-7b	113777	5729.004305	N
hsa-let-7c	31571	1589.692072	Y
hsa-let-7d	89755	4519.426434	N
hsa-let-7e	43281	2179.324778	N
hsa-let-7f-1	507044	25531.146529	N
hsa-let-7f-2	536293	27003.919119	N
hsa-let-7g	434380	21872.301870	N
hsa-let-7i	114935	5787.312987	N
hsa-mir-1-1	1547	77.895969	N
hsa-mir-1-2	1707	85.952436	N
hsa-mir-100	58863	2963.923995	Y
hsa-mir-101-1	123994	6243.460100	N
hsa-mir-101-2	132979	6695.881096	N
hsa-mir-103a-1	150329	7569.504277	Y
hsa-mir-103a-2	155334	7821.520647	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1405	70.745854	Y
hsa-mir-106b	36520	1838.888679	N
hsa-mir-107	12279	618.283518	Y
hsa-mir-10a	223291	11243.354107	N
hsa-mir-10b	810351	40803.539971	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	31	1.560941	N
hsa-mir-1180	1883	94.814550	N
hsa-mir-1181	5	0.251765	N
hsa-mir-1182	2	0.100706	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	0.402823	N
hsa-mir-1185-2	18	0.906353	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.251765	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	15291	769.946517	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	53	2.668705	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	131	6.596233	N
hsa-mir-1229	22	1.107764	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.100706	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	7	0.352470	N
hsa-mir-124-2	3	0.151059	N
hsa-mir-124-3	4	0.201412	N
hsa-mir-1243	4	0.201412	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	50	2.517646	N
hsa-mir-1248	30	1.510588	N
hsa-mir-1249	521	26.233872	N
hsa-mir-1250	53	2.668705	N
hsa-mir-1251	12	0.604235	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	11	0.553882	N
hsa-mir-1254-2	10	0.503529	N
hsa-mir-1255a	19	0.956706	N
hsa-mir-1255b-1	0	0.000000	N
