miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	135506	10555.713040	N
hsa-let-7a-2	131525	10245.599144	Y
hsa-let-7a-3	132537	10324.432418	N
hsa-let-7b	41354	3221.414233	N
hsa-let-7c	24132	1879.846406	Y
hsa-let-7d	19882	1548.777816	N
hsa-let-7e	12924	1006.760109	N
hsa-let-7f-1	173299	13499.730744	N
hsa-let-7f-2	182226	14195.130581	N
hsa-let-7g	199700	15556.328828	N
hsa-let-7i	71989	5607.834532	N
hsa-mir-1-1	7637	594.910782	N
hsa-mir-1-2	8136	633.782130	N
hsa-mir-100	43161	3362.176808	Y
hsa-mir-101-1	37152	2894.084770	N
hsa-mir-101-2	38635	3009.608234	N
hsa-mir-103a-1	63123	4917.186503	Y
hsa-mir-103a-2	64895	5055.222630	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.077898	N
hsa-mir-106a	158	12.307962	Y
hsa-mir-106b	11597	903.388810	N
hsa-mir-107	4569	355.918209	Y
hsa-mir-10a	138283	10772.037152	N
hsa-mir-10b	508332	39598.296173	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	10	0.778985	N
hsa-mir-1180	339	26.407589	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	0.701086	N
hsa-mir-1185-2	3	0.233695	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	310	24.148532	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	21	1.635868	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	11	0.856883	N
hsa-mir-1229	38	2.960143	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.155797	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	72	5.608691	N
hsa-mir-124-2	63	4.907605	N
hsa-mir-124-3	71	5.530793	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.467391	N
hsa-mir-1245b	2	0.155797	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	63	4.907605	N
hsa-mir-1248	16	1.246376	N
hsa-mir-1249	238	18.539841	N
hsa-mir-1250	38	2.960143	N
hsa-mir-1251	1	0.077898	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	10	0.778985	N
hsa-mir-1254-2	11	0.856883	N
