miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	322334	27855.652939	N
hsa-let-7a-2	312348	26992.676801	Y
hsa-let-7a-3	312538	27009.096335	N
hsa-let-7b	98305	8495.380451	N
hsa-let-7c	30392	2626.434084	Y
hsa-let-7d	68446	5915.007480	N
hsa-let-7e	16825	1453.992941	N
hsa-let-7f-1	368590	31853.031690	N
hsa-let-7f-2	386702	33418.245369	N
hsa-let-7g	399315	34508.243168	N
hsa-let-7i	137910	11917.989094	N
hsa-mir-1-1	708	61.184369	N
hsa-mir-1-2	815	70.431159	N
hsa-mir-100	9873	853.210836	Y
hsa-mir-101-1	26501	2290.179313	N
hsa-mir-101-2	27548	2380.659587	N
hsa-mir-103a-1	147127	12714.509329	Y
hsa-mir-103a-2	155822	13465.919054	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.086419	N
hsa-mir-106a	513	44.332742	Y
hsa-mir-106b	27687	2392.671772	N
hsa-mir-107	24500	2117.255694	Y
hsa-mir-10a	70951	6131.486072	N
hsa-mir-10b	248484	21473.639346	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	47	4.061674	N
hsa-mir-1180	2265	195.738128	N
hsa-mir-1181	1	0.086419	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.086419	N
hsa-mir-1185-2	7	0.604930	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	910	78.640926	N
hsa-mir-1224	9	0.777767	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	69	5.962883	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	30	2.592558	N
hsa-mir-1229	38	3.283907	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.432093	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	3	0.259256	N
hsa-mir-1238	1	0.086419	N
hsa-mir-124-1	332	28.690975	N
hsa-mir-124-2	323	27.913208	N
hsa-mir-124-3	349	30.160091	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.086419	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	91	7.864093	N
hsa-mir-1248	22	1.901209	N
hsa-mir-1249	309	26.703347	N
hsa-mir-1250	40	3.456744	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	17	1.469116	N
hsa-mir-1254-2	13	1.123442	N
hsa-mir-1255a	34	2.938232	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.086419	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	114355	9882.398977	N
hsa-mir-125b-1	70602	6101.325981	N
hsa-mir-125b-2	72596	6273.644669	N
hsa-mir-126	68978	5960.982175	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	8	0.691349	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	0.518512	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	17	1.469116	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.086419	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	156	13.481302	N
hsa-mir-1270	1634	141.207992	N
hsa-mir-1271	696	60.147345	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	15	1.296279	N
hsa-mir-1275	9	0.777767	N
hsa-mir-1276	6	0.518512	N
hsa-mir-1277	1	0.086419	N
hsa-mir-1278	22	1.901209	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	6270	541.844621	N
hsa-mir-128-2	4972	429.673278	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	19	1.641953	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	60	5.185116	N
hsa-mir-1288	3	0.259256	N
hsa-mir-1289-1	2	0.172837	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	8	0.691349	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	41	3.543163	N
hsa-mir-1292	126	10.888744	N
hsa-mir-1293	8	0.691349	N
hsa-mir-1294	33	2.851814	N
hsa-mir-1295a	56	4.839442	N
hsa-mir-1295b	1	0.086419	N
hsa-mir-1296	118	10.197395	N
hsa-mir-1297	0	0.000000	N
