miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	298902	24703.661357	N
hsa-let-7a-2	286156	23650.229571	Y
hsa-let-7a-3	286352	23666.428585	N
hsa-let-7b	81932	6771.518365	N
hsa-let-7c	25885	2139.344247	Y
hsa-let-7d	50284	4155.873523	N
hsa-let-7e	20698	1710.648918	N
hsa-let-7f-1	282312	23332.530545	N
hsa-let-7f-2	301767	24940.447962	N
hsa-let-7g	262117	21663.453587	N
hsa-let-7i	78900	6520.929539	N
hsa-mir-1-1	4065	335.964241	N
hsa-mir-1-2	4223	349.022629	N
hsa-mir-100	29951	2475.391136	Y
hsa-mir-101-1	41576	3436.174481	N
hsa-mir-101-2	44549	3681.887073	N
hsa-mir-103a-1	98787	8164.550905	Y
hsa-mir-103a-2	103454	8550.269259	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.082648	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	360	29.753291	Y
hsa-mir-106b	19429	1605.768568	N
hsa-mir-107	13939	1152.030885	Y
hsa-mir-10a	70630	5837.430334	N
hsa-mir-10b	222973	18428.279114	N
hsa-mir-1178	1	0.082648	N
hsa-mir-1179	12	0.991776	N
hsa-mir-1180	713	58.928045	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.413240	N
hsa-mir-1185-2	1	0.082648	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2071	171.164069	N
hsa-mir-1224	2	0.165296	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	49	4.049753	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	29	2.396793	N
hsa-mir-1229	32	2.644737	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	9	0.743832	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	25	2.066201	N
hsa-mir-124-2	9	0.743832	N
hsa-mir-124-3	14	1.157072	N
hsa-mir-1243	2	0.165296	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	1	0.082648	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	0.578536	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	88	7.273027	N
hsa-mir-1248	30	2.479441	N
hsa-mir-1249	245	20.248767	N
hsa-mir-1250	13	1.074424	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	14	1.157072	N
hsa-mir-1254-2	18	1.487665	N
hsa-mir-1255a	13	1.074424	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	154074	12733.912520	N
hsa-mir-125b-1	55681	4601.924939	N
hsa-mir-125b-2	55824	4613.743607	N
hsa-mir-126	117263	9691.555900	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	8	0.661184	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.330592	N
hsa-mir-1263	3	0.247944	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	8	0.661184	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	6034	498.698211	N
hsa-mir-1269b	1	0.082648	N
hsa-mir-127	1116	92.235201	N
hsa-mir-1270	521	43.059623	N
hsa-mir-1271	1007	83.226566	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.082648	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.165296	N
hsa-mir-1276	8	0.661184	N
hsa-mir-1277	5	0.413240	N
hsa-mir-1278	9	0.743832	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3780	312.409552	N
hsa-mir-128-2	2726	225.298529	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	12	0.991776	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	118	9.752467	N
hsa-mir-1288	2	0.165296	N
hsa-mir-1289-1	1	0.082648	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	5	0.413240	N
hsa-mir-129-2	5	0.413240	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	24	1.983553	N
hsa-mir-1292	45	3.719161	N
hsa-mir-1293	39	3.223273	N
hsa-mir-1294	3	0.247944	N
hsa-mir-1295a	24	1.983553	N
hsa-mir-1295b	2	0.165296	N
hsa-mir-1296	85	7.025083	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	2327	192.321965	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	5	0.413240	N
hsa-mir-1304	17	1.405017	N
hsa-mir-1305	1	0.082648	N
hsa-mir-1306	110	9.091283	N
hsa-mir-1307	2336	193.065797	N
hsa-mir-130a	587	48.514393	N
hsa-mir-130b	1212	100.169412	N
hsa-mir-132	1911	157.940385	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	12	0.991776	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	468	38.679278	Y
hsa-mir-133a-2	473	39.092518	Y
hsa-mir-133b	7	0.578536	Y
hsa-mir-134	72	5.950658	N
hsa-mir-1343	12	0.991776	N
hsa-mir-135a-1	178	14.711349	N
hsa-mir-135a-2	237	19.587583	N
hsa-mir-135b	1028	84.962174	N
hsa-mir-136	175	14.463405	N
hsa-mir-137	3	0.247944	N
hsa-mir-138-1	41	3.388569	N
hsa-mir-138-2	22	1.818257	N
hsa-mir-139	2768	228.769746	N
hsa-mir-140	85556	7071.034824	N
hsa-mir-141	30	2.479441	N
hsa-mir-142	9614	794.578157	N
hsa-mir-143	414925	34292.733701	N
hsa-mir-144	1746	144.303460	N
hsa-mir-145	56178	4643.001009	N
hsa-mir-1468	114	9.421875	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	10927	903.095020	N
hsa-mir-146b	35623	2944.170760	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	18	1.487665	N
hsa-mir-148a	30787	2544.484889	N
hsa-mir-148b	7537	622.918199	N
hsa-mir-149	164	13.554277	N
hsa-mir-150	12091	999.297326	N
hsa-mir-151a	32081	2651.431439	N
hsa-mir-151b	406	33.555100	N
hsa-mir-152	3029	250.340882	N
hsa-mir-153-1	1	0.082648	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	0.082648	N
hsa-mir-1539	0	0.000000	N
