miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	283684	24461.795066	N
hsa-let-7a-2	269991	23281.061010	Y
hsa-let-7a-3	270283	23306.239886	N
hsa-let-7b	63096	5440.706637	N
hsa-let-7c	35394	3051.990153	Y
hsa-let-7d	45733	3943.512055	N
hsa-let-7e	28851	2487.793635	N
hsa-let-7f-1	286931	24741.780714	N
hsa-let-7f-2	311050	26821.538597	N
hsa-let-7g	259163	22347.373115	N
hsa-let-7i	98962	8533.396890	N
hsa-mir-1-1	1793	154.608644	N
hsa-mir-1-2	1835	158.230263	N
hsa-mir-100	112539	9704.128378	Y
hsa-mir-101-1	30423	2623.345664	N
hsa-mir-101-2	33302	2871.599030	N
hsa-mir-103a-1	100817	8693.351733	Y
hsa-mir-103a-2	103725	8944.105742	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.172458	N
hsa-mir-105-2	1	0.086229	N
hsa-mir-106a	663	57.169844	Y
hsa-mir-106b	22147	1909.714243	N
hsa-mir-107	7926	683.451262	Y
hsa-mir-10a	143423	12367.225623	N
hsa-mir-10b	581571	50148.300991	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	15	1.293435	N
hsa-mir-1180	426	36.733565	N
hsa-mir-1181	2	0.172458	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.344916	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.258687	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1871	161.334508	N
hsa-mir-1224	1	0.086229	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	36	3.104245	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	17	1.465893	N
hsa-mir-1229	2	0.172458	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.086229	N
hsa-mir-1236	1	0.086229	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	9	0.776061	N
hsa-mir-124-2	3	0.258687	N
hsa-mir-124-3	4	0.344916	N
hsa-mir-1243	5	0.431145	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	0.603603	N
hsa-mir-1245b	5	0.431145	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	17	1.465893	N
hsa-mir-1248	19	1.638351	N
hsa-mir-1249	209	18.021866	N
hsa-mir-1250	35	3.018016	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	11	0.948519	N
hsa-mir-1254-2	12	1.034748	N
hsa-mir-1255a	23	1.983268	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.086229	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	283954	24485.076903	N
hsa-mir-125b-1	67270	5800.626592	N
hsa-mir-125b-2	67537	5823.649742	N
hsa-mir-126	248951	21466.802299	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	2	0.172458	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.344916	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.172458	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	681	58.721967	N
hsa-mir-1270	586	50.530209	N
hsa-mir-1271	3223	277.916151	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.086229	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.172458	N
hsa-mir-1276	1	0.086229	N
hsa-mir-1277	3	0.258687	N
hsa-mir-1278	10	0.862290	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5596	482.537631	N
hsa-mir-128-2	3475	299.645866	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	13	1.120977	N
hsa-mir-1285-1	2	0.172458	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.172458	N
hsa-mir-1287	53	4.570138	N
hsa-mir-1288	1	0.086229	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	22	1.897039	N
hsa-mir-129-2	63	5.432429	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	33	2.845558	N
hsa-mir-1292	39	3.362932	N
hsa-mir-1293	3	0.258687	N
hsa-mir-1294	11	0.948519	N
hsa-mir-1295a	21	1.810810	N
hsa-mir-1295b	6	0.517374	N
hsa-mir-1296	269	23.195608	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1139	98.214861	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	12	1.034748	N
