miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	317964	24256.564642	N
hsa-let-7a-2	311404	23756.120994	Y
hsa-let-7a-3	310617	23696.083014	N
hsa-let-7b	112889	8611.979110	N
hsa-let-7c	38401	2929.502519	Y
hsa-let-7d	39329	3000.296986	N
hsa-let-7e	22369	1706.467067	N
hsa-let-7f-1	263106	20071.604637	N
hsa-let-7f-2	278914	21277.551769	N
hsa-let-7g	318971	24333.385793	N
hsa-let-7i	100004	7629.019293	N
hsa-mir-1-1	7542	575.357621	N
hsa-mir-1-2	8199	625.478273	N
hsa-mir-100	94362	7198.607241	Y
hsa-mir-101-1	25071	1912.594923	N
hsa-mir-101-2	27424	2092.098567	N
hsa-mir-103a-1	86755	6618.290956	Y
hsa-mir-103a-2	90207	6881.634168	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	485	36.999264	Y
hsa-mir-106b	14558	1110.588205	N
hsa-mir-107	9695	739.603836	Y
hsa-mir-10a	273215	20842.791350	N
hsa-mir-10b	563421	42981.777519	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	12	0.915446	N
hsa-mir-1180	653	49.815503	N
hsa-mir-1181	3	0.228861	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	15	1.144307	N
hsa-mir-1185-2	6	0.457723	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.305149	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	237	18.080053	N
hsa-mir-1224	1	0.076287	N
