miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	300946	23904.557789	N
hsa-let-7a-2	297906	23663.086376	Y
hsa-let-7a-3	297614	23639.892412	N
hsa-let-7b	118033	9375.524744	N
hsa-let-7c	45416	3607.455811	Y
hsa-let-7d	44976	3572.506001	N
hsa-let-7e	19813	1573.774044	N
hsa-let-7f-1	246543	19583.252115	N
hsa-let-7f-2	256789	20397.106092	N
hsa-let-7g	303839	24134.352788	N
hsa-let-7i	120209	9548.367439	N
hsa-mir-1-1	20220	1606.102618	N
hsa-mir-1-2	21631	1718.180303	N
hsa-mir-100	145887	11588.006560	Y
hsa-mir-101-1	19658	1561.462179	N
hsa-mir-101-2	21058	1672.666119	N
hsa-mir-103a-1	64309	5108.152980	Y
hsa-mir-103a-2	67684	5376.233907	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	433	34.393790	Y
hsa-mir-106b	11443	908.933346	N
hsa-mir-107	7253	576.115840	Y
hsa-mir-10a	278010	22082.719527	N
hsa-mir-10b	629232	49980.769662	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	10	0.794314	N
hsa-mir-1180	479	38.047634	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	0.714882	N
hsa-mir-1185-2	5	0.397157	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1705	135.430513	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	24	1.906353	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	30	2.382942	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	4	0.317726	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	12	0.953177	N
hsa-mir-1236	0	0.000000	N
