miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	69713	10287.968067	N
hsa-let-7a-2	68033	10040.040330	N
hsa-let-7a-3	68637	10129.176254	N
hsa-let-7b	38834	5730.967709	N
hsa-let-7c	33726	4977.149327	N
hsa-let-7d	28744	4241.925525	N
hsa-let-7e	25957	3830.631118	N
hsa-let-7f-1	87434	12903.162968	N
hsa-let-7f-2	92378	13632.778880	N
hsa-let-7g	106372	15697.957902	N
hsa-let-7i	86548	12772.410601	N
hsa-mir-1-1	1647	243.057728	N
hsa-mir-1-2	1665	245.714097	N
hsa-mir-100	24655	3638.487121	Y
hsa-mir-101-1	21907	3232.948180	N
hsa-mir-101-2	22861	3373.735716	N
hsa-mir-103a-1	81467	12022.576772	Y
hsa-mir-103a-2	84444	12461.910626	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.147576	N
hsa-mir-105-2	4	0.590304	N
hsa-mir-106a	2034	300.169653	Y
hsa-mir-106b	43814	6465.896359	N
hsa-mir-107	12875	1900.041439	Y
hsa-mir-10a	214511	31656.682656	N
hsa-mir-10b	468771	69179.365092	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.442728	N
hsa-mir-1180	847	124.996901	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	138	20.365493	N
hsa-mir-1185-2	98	14.462451	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	163	24.054894	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	2	0.295152	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	17	2.508793	N
hsa-mir-1226	140	20.660645	N
hsa-mir-1227	1	0.147576	N
hsa-mir-1228	330	48.700091	N
hsa-mir-1229	6	0.885456	N
hsa-mir-1231	3	0.442728	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	8	1.180608	N
hsa-mir-1236	2	0.295152	N
hsa-mir-1237	3	0.442728	N
hsa-mir-1238	2	0.295152	N
hsa-mir-124-1	12	1.770912	N
hsa-mir-124-2	10	1.475760	N
hsa-mir-124-3	8	1.180608	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	2	0.295152	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	38	5.607889	N
hsa-mir-1245b	2	0.295152	N
hsa-mir-1246	1	0.147576	N
hsa-mir-1247	360	53.127372	N
hsa-mir-1248	365	53.865252	N
hsa-mir-1249	228	33.647336	N
hsa-mir-1250	26	3.836977	N
hsa-mir-1251	31	4.574857	N
hsa-mir-1252	34	5.017585	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	11	1.623336	N
hsa-mir-1254-2	15	2.213641	N
hsa-mir-1255a	10	1.475760	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.147576	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.442728	N
hsa-mir-125a	98056	14470.715602	N
hsa-mir-125b-1	30963	4569.396745	N
hsa-mir-125b-2	32543	4802.566879	N
hsa-mir-126	56598	8352.508379	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	52	7.673954	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	14	2.066064	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	11	1.623336	N
hsa-mir-1266	1	0.147576	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	5236	772.708115	N
hsa-mir-1269b	2067	305.039663	N
hsa-mir-127	9361	1381.459255	N
hsa-mir-1270	1	0.147576	N
hsa-mir-1271	1387	204.687959	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.147576	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	4	0.590304	N
hsa-mir-1276	25	3.689401	N
hsa-mir-1277	7	1.033032	N
hsa-mir-1278	11	1.623336	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4418	651.990919	N
hsa-mir-128-2	3189	470.619973	N
hsa-mir-1281	0	0.000000	N
