miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	177232	13979.874666	N
hsa-let-7a-2	174334	13751.283459	Y
hsa-let-7a-3	175153	13815.885322	N
hsa-let-7b	12202	962.480989	N
hsa-let-7c	63494	5008.340266	Y
hsa-let-7d	19032	1501.224241	N
hsa-let-7e	50455	3979.837593	N
hsa-let-7f-1	81890	6459.397493	N
hsa-let-7f-2	85619	6753.537110	N
hsa-let-7g	155813	12290.366364	N
hsa-let-7i	60063	4737.706577	N
hsa-mir-1-1	2563	202.166758	N
hsa-mir-1-2	2675	211.001200	N
hsa-mir-100	130873	10323.125266	Y
hsa-mir-101-1	35271	2782.139565	N
hsa-mir-101-2	36961	2915.444996	N
hsa-mir-103a-1	179670	14172.181554	Y
hsa-mir-103a-2	186497	14710.688169	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	3401	268.267320	Y
hsa-mir-106b	133528	10532.548887	N
hsa-mir-107	24394	1924.173189	Y
hsa-mir-10a	819707	64657.630241	N
hsa-mir-10b	653520	51548.973615	N
hsa-mir-1178	5	0.394395	N
hsa-mir-1179	11	0.867668	N
hsa-mir-1180	3637	286.882753	N
hsa-mir-1181	2	0.157758	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	227	17.905522	N
hsa-mir-1185-2	118	9.307716	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	176	13.882696	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	98	7.730137	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	4	0.315516	N
hsa-mir-1226	117	9.228838	N
hsa-mir-1227	8	0.631032	N
hsa-mir-1228	69	5.442648	N
hsa-mir-1229	14	1.104305	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	8	0.631032	N
hsa-mir-1236	1	0.078879	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	5961	470.197441	N
hsa-mir-124-2	6274	494.886554	N
hsa-mir-124-3	6138	484.159016	N
hsa-mir-1243	1	0.078879	N
hsa-mir-1244-1	2	0.157758	N
hsa-mir-1244-2	2	0.157758	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	18	1.419821	N
hsa-mir-1245b	1	0.078879	N
hsa-mir-1246	4	0.315516	N
hsa-mir-1247	487	38.414050	N
hsa-mir-1248	51	4.022827	N
hsa-mir-1249	174	13.724938	N
hsa-mir-1250	448	35.337771	N
hsa-mir-1251	25	1.971974	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	63	4.969374	N
hsa-mir-1254-2	92	7.256864	N
hsa-mir-1255a	14	1.104305	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	9	0.709911	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	251012	19799.563847	N
hsa-mir-125b-1	176333	13908.962487	N
hsa-mir-125b-2	174121	13734.482242	N
hsa-mir-126	35380	2790.737371	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	179	14.119333	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	59	4.653858	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	1	0.078879	N
hsa-mir-1266	8	0.631032	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	721	56.871725	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	9475	747.378083	N
hsa-mir-1270	0	0.000000	N
hsa-mir-1271	3813	300.765449	N
hsa-mir-1272	2	0.157758	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	3	0.236637	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	4	0.315516	N
hsa-mir-1275	2	0.157758	N
hsa-mir-1276	108	8.518927	N
hsa-mir-1277	4	0.315516	N
hsa-mir-1278	31	2.445248	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	18112	1428.655604	N
hsa-mir-128-2	12805	1010.044998	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	49	3.865069	N
hsa-mir-1285-1	5	0.394395	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	20	1.577579	N
hsa-mir-1287	354	27.923149	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	18	1.419821	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.078879	N
hsa-mir-129-2	2	0.157758	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	57	4.496100	N
hsa-mir-1292	198	15.618033	N
