miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	60470	10521.454929	N
hsa-let-7a-2	60759	10571.739376	Y
hsa-let-7a-3	60692	10560.081736	N
hsa-let-7b	41540	7227.736692	N
hsa-let-7c	166352	28944.353735	Y
hsa-let-7d	2460	428.026776	N
hsa-let-7e	16380	2850.031945	N
hsa-let-7f-1	47083	8192.188894	N
hsa-let-7f-2	49052	8534.784309	N
hsa-let-7g	6602	1148.712509	N
hsa-let-7i	3366	585.665905	N
hsa-mir-1-1	86	14.963538	N
hsa-mir-1-2	80	13.919570	N
hsa-mir-100	97202	16912.625468	Y
hsa-mir-101-1	14737	2564.158778	N
hsa-mir-101-2	15162	2638.106493	N
hsa-mir-103a-1	101805	17713.522723	Y
hsa-mir-103a-2	101978	17743.623793	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.173995	N
hsa-mir-106a	100	17.399462	Y
hsa-mir-106b	4248	739.129164	N
hsa-mir-107	700	121.796237	Y
hsa-mir-10a	195682	34047.616065	N
hsa-mir-10b	1018506	177214.568779	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.173995	N
hsa-mir-1180	182	31.667022	N
hsa-mir-1181	2	0.347989	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	1.391957	N
hsa-mir-1185-2	3	0.521984	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	10	1.739946	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	1	0.173995	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.173995	N
hsa-mir-1225	1	0.173995	N
hsa-mir-1226	6	1.043968	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.695978	N
hsa-mir-1229	1	0.173995	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	12	2.087935	N
hsa-mir-124-2	13	2.261930	N
hsa-mir-124-3	11	1.913941	N
hsa-mir-1243	4	0.695978	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	91	15.833511	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	2	0.347989	N
hsa-mir-1247	14	2.435925	N
hsa-mir-1248	63	10.961661	N
hsa-mir-1249	6	1.043968	N
hsa-mir-1250	2	0.347989	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.173995	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.347989	N
hsa-mir-1254-2	2	0.347989	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	1	0.173995	N
hsa-mir-1258	1	0.173995	N
hsa-mir-125a	7244	1260.417058	N
hsa-mir-125b-1	19371	3370.449867	N
hsa-mir-125b-2	20290	3530.350926	N
hsa-mir-126	19066	3317.381506	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.521984	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	1	0.173995	N
hsa-mir-1266	5	0.869973	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	42	7.307774	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	11557	2010.855873	N
hsa-mir-1270	15	2.609919	N
hsa-mir-1271	53	9.221715	N
hsa-mir-1272	2	0.347989	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	9	1.565952	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	835	145.285511	N
hsa-mir-128-2	478	83.169430	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	2	0.347989	N
hsa-mir-1283-2	1	0.173995	Y
hsa-mir-1284	1	0.173995	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	39	6.785790	N
hsa-mir-1288	3	0.521984	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	22	3.827882	N
hsa-mir-129-2	22	3.827882	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	14	2.435925	N
hsa-mir-1292	4	0.695978	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	17	2.957909	N
hsa-mir-1295b	0	0.000000	N
