miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	218076	15709.546707	N
hsa-let-7a-2	214740	15469.231185	Y
hsa-let-7a-3	215402	15516.919697	N
hsa-let-7b	70181	5055.630594	N
hsa-let-7c	8958	645.307688	Y
hsa-let-7d	28019	2018.405460	N
hsa-let-7e	15546	1119.887622	N
hsa-let-7f-1	191780	13815.261044	N
hsa-let-7f-2	203721	14675.455184	N
hsa-let-7g	249739	17990.455094	N
hsa-let-7i	95268	6862.823491	N
hsa-mir-1-1	1193	85.940173	N
hsa-mir-1-2	1251	90.118321	N
hsa-mir-100	237972	17142.795397	Y
hsa-mir-101-1	17776	1280.530193	N
hsa-mir-101-2	19048	1372.161291	N
hsa-mir-103a-1	70542	5081.635961	Y
hsa-mir-103a-2	72591	5229.239829	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	437	31.480181	Y
hsa-mir-106b	12673	912.925244	N
hsa-mir-107	3651	263.007186	Y
hsa-mir-10a	133820	9639.994957	N
hsa-mir-10b	190853	13748.482720	N
hsa-mir-1178	1	0.072037	N
hsa-mir-1179	2	0.144074	N
hsa-mir-1180	366	26.365552	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.072037	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	286	20.602590	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	20	1.440741	N
