miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	281557	24246.349532	N
hsa-let-7a-2	273218	23528.234519	Y
hsa-let-7a-3	274763	23661.282569	N
hsa-let-7b	72753	6265.142289	N
hsa-let-7c	31280	2693.684808	Y
hsa-let-7d	40267	3467.602498	N
hsa-let-7e	19366	1667.707800	N
hsa-let-7f-1	282627	24338.492842	N
hsa-let-7f-2	305260	26287.539142	N
hsa-let-7g	264200	22751.647255	N
hsa-let-7i	100505	8655.012519	N
hsa-mir-1-1	1431	123.230913	N
hsa-mir-1-2	1551	133.564742	N
hsa-mir-100	65087	5604.982835	Y
hsa-mir-101-1	52243	4498.918651	N
hsa-mir-101-2	55505	4779.826574	N
hsa-mir-103a-1	85942	7400.916232	Y
hsa-mir-103a-2	88870	7653.061664	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	381	32.809908	Y
hsa-mir-106b	18460	1589.687390	N
hsa-mir-107	10145	873.639142	Y
hsa-mir-10a	88387	7611.468001	N
hsa-mir-10b	301833	25992.422203	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	21	1.808420	N
hsa-mir-1180	755	65.017009	N
hsa-mir-1181	2	0.172230	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	11	0.947268	N
hsa-mir-1185-2	8	0.688922	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	8	0.688922	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1957	168.527531	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	15	1.291729	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	16	1.377844	N
hsa-mir-1229	10	0.861152	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.344461	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	19	1.636190	N
hsa-mir-124-2	24	2.066766	N
hsa-mir-124-3	18	1.550074	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	0.602807	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	126	10.850521	N
hsa-mir-1248	36	3.100149	N
hsa-mir-1249	160	13.778439	N
hsa-mir-1250	14	1.205613	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.172230	N
hsa-mir-1254-2	5	0.430576	N
hsa-mir-1255a	25	2.152881	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.172230	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	294209	25335.879589	N
hsa-mir-125b-1	47202	4064.811710	N
hsa-mir-125b-2	48114	4143.348812	N
hsa-mir-126	333643	28731.748089	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	26	2.238996	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	28	2.411227	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	0.516691	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	1	0.086115	N
hsa-mir-127	1171	100.840950	N
hsa-mir-1270	1105	95.157344	N
hsa-mir-1271	3856	332.060378	N
hsa-mir-1272	1	0.086115	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.086115	N
hsa-mir-1275	1	0.086115	N
hsa-mir-1276	1	0.086115	N
hsa-mir-1277	11	0.947268	N
hsa-mir-1278	11	0.947268	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4750	409.047405	N
hsa-mir-128-2	2942	253.351046	N
hsa-mir-1281	1	0.086115	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	8	0.688922	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	68	5.855837	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
