miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	54106	10154.532595	N
hsa-let-7a-2	52634	9878.269852	N
hsa-let-7a-3	52837	9916.368586	N
hsa-let-7b	16299	3058.971773	N
hsa-let-7c	4373	820.718054	N
hsa-let-7d	9693	1819.167642	N
hsa-let-7e	3774	708.298636	N
hsa-let-7f-1	69359	13017.192664	N
hsa-let-7f-2	73981	13884.642663	N
hsa-let-7g	105135	19731.578464	N
hsa-let-7i	99223	18622.023208	N
hsa-mir-1-1	397	74.508362	N
hsa-mir-1-2	411	77.135861	N
hsa-mir-100	8496	1594.516485	Y
hsa-mir-101-1	22768	4273.063951	N
hsa-mir-101-2	23212	4356.393202	N
hsa-mir-103a-1	33507	6288.543298	Y
hsa-mir-103a-2	35165	6599.714241	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	203	38.098734	Y
hsa-mir-106b	9330	1751.040349	N
hsa-mir-107	5397	1012.900832	Y
hsa-mir-10a	24464	4591.366677	N
hsa-mir-10b	48857	9169.408180	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.563035	N
hsa-mir-1180	223	41.852304	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.187678	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.187678	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	85	15.952672	N
hsa-mir-1224	1	0.187678	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	16	3.002856	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	18	3.378213	N
hsa-mir-1229	6	1.126071	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.187678	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	38	7.131783	N
hsa-mir-124-2	22	4.128927	N
hsa-mir-124-3	44	8.257854	N
hsa-mir-1243	3	0.563035	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	76	14.263566	N
hsa-mir-1248	79	14.826601	N
hsa-mir-1249	155	29.090167	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.938392	N
hsa-mir-1254-2	7	1.313749	N
hsa-mir-1255a	10	1.876785	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	39372	7389.277665	N
hsa-mir-125b-1	13521	2537.600917	N
hsa-mir-125b-2	14504	2722.088877	N
hsa-mir-126	29922	5615.715897	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	22	4.128927	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	4	0.750714	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	401	75.259076	N
hsa-mir-1269b	371	69.628721	N
hsa-mir-127	114	21.395348	N
hsa-mir-1270	118	22.146062	N
hsa-mir-1271	846	158.776006	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.375357	N
hsa-mir-1276	4	0.750714	N
hsa-mir-1277	5	0.938392	N
hsa-mir-1278	9	1.689106	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1424	267.254175	N
hsa-mir-128-2	1021	191.619742	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	8	1.501428	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	12	2.252142	N
hsa-mir-1288	1	0.187678	N
hsa-mir-1289-1	2	0.375357	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.187678	N
hsa-mir-129-2	1	0.187678	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	10	1.876785	N
hsa-mir-1292	27	5.067319	N
hsa-mir-1293	25	4.691962	N
hsa-mir-1294	1	0.187678	N
hsa-mir-1295a	13	2.439820	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	85	15.952672	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	5	0.938392	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	622	116.736023	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	5	0.938392	N
hsa-mir-1304	13	2.439820	N
hsa-mir-1305	1	0.187678	N
hsa-mir-1306	47	8.820889	N
hsa-mir-1307	1300	243.982042	N
hsa-mir-130a	179	33.594450	N
hsa-mir-130b	456	85.581393	N
hsa-mir-132	494	92.713176	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	66	12.386781	N
hsa-mir-133a-2	54	10.134639	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	5	0.938392	N
hsa-mir-1343	15	2.815177	N
hsa-mir-135a-1	85	15.952672	N
hsa-mir-135a-2	59	11.073031	N
hsa-mir-135b	652	122.366378	N
hsa-mir-136	33	6.193390	N
hsa-mir-137	1	0.187678	N
hsa-mir-138-1	167	31.342308	N
hsa-mir-138-2	65	12.199102	N
hsa-mir-139	273	51.236229	N
hsa-mir-140	17923	3363.761648	N
hsa-mir-141	26	4.879641	N
hsa-mir-142	9438	1771.309626	N
hsa-mir-143	96014	18019.762921	N
hsa-mir-144	2960	555.528342	N
hsa-mir-145	7984	1498.425096	N
hsa-mir-1468	29	5.442676	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	5023	942.709075	N
hsa-mir-146b	27044	5075.577191	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	4	0.750714	N
hsa-mir-148a	18358	3445.401792	N
hsa-mir-148b	3267	613.145640	N
hsa-mir-149	156	29.277845	N
hsa-mir-150	6028	1131.325962	N
hsa-mir-151a	9618	1805.091755	N
hsa-mir-151b	45	8.445532	N
hsa-mir-152	1400	262.749892	N
hsa-mir-153-1	7	1.313749	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	3	0.563035	N
hsa-mir-1538	2	0.375357	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	7	1.313749	N
hsa-mir-155	24041	4511.978674	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1998	374.981631	N
hsa-mir-15b	9257	1737.339819	N
hsa-mir-16-1	21294	3996.425851	N
hsa-mir-16-2	22398	4203.622908	N
hsa-mir-17	1493	280.203992	Y
hsa-mir-181a-1	14725	2763.565824	N
hsa-mir-181a-2	14627	2745.173331	N
hsa-mir-181b-1	3241	608.265999	N
hsa-mir-181b-2	3990	748.837191	N
hsa-mir-181c	121	22.709098	N
hsa-mir-181d	50	9.383925	N
hsa-mir-182	12918	2424.430785	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	8444	1584.757203	N
hsa-mir-184	33	6.193390	N
hsa-mir-185	2960	555.528342	N
hsa-mir-186	8247	1547.784540	N
hsa-mir-187	0	0.000000	N
hsa-mir-188	36	6.756426	N
hsa-mir-18a	203	38.098734	N
hsa-mir-18b	5	0.938392	N
hsa-mir-1908	3	0.563035	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	1040	195.185634	N
hsa-mir-190b	49	9.196246	N
hsa-mir-191	28075	5269.073718	N
hsa-mir-1910	4	0.750714	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	17471	3278.930968	Y
hsa-mir-193a	1344	252.239896	N
hsa-mir-193b	1165	218.645445	N
hsa-mir-194-1	4289	804.953061	N
hsa-mir-194-2	12722	2387.645800	N
hsa-mir-195	2670	501.101579	N
hsa-mir-196a-1	989	185.614031	N
hsa-mir-196a-2	1791	336.132183	N
hsa-mir-196b	1399	262.562213	N
hsa-mir-197	1383	259.559357	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	14	2.627499	N
hsa-mir-198	1	0.187678	N
hsa-mir-199a-1	3506	658.000800	Y
hsa-mir-199a-2	6081	1141.272922	Y
hsa-mir-199b	8250	1548.347575	Y
hsa-mir-19a	533	100.032637	N
hsa-mir-19b-1	1526	286.397382	N
hsa-mir-19b-2	1593	298.971841	N
hsa-mir-200a	3637	682.586683	N
hsa-mir-200b	8985	1686.291268	N
hsa-mir-200c	501	94.026925	N
hsa-mir-202	2	0.375357	N
hsa-mir-203a	319	59.869440	N
hsa-mir-203b	0	0.000000	N
hsa-mir-204	9849	1848.445487	N
hsa-mir-205	294	55.177477	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	4516	847.556079	N
hsa-mir-20b	141	26.462668	N
hsa-mir-21	2657535	498762.166493	N
hsa-mir-210	1529	286.960417	N
hsa-mir-211	1	0.187678	N
hsa-mir-2110	86	16.140350	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	1	0.187678	N
hsa-mir-2115	1	0.187678	N
hsa-mir-2116	38	7.131783	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	53	9.946960	N
hsa-mir-214	412	77.323540	N
hsa-mir-215	37	6.944104	Y
hsa-mir-216a	2	0.375357	N
hsa-mir-216b	2	0.375357	N
hsa-mir-217	9	1.689106	N
hsa-mir-218-1	169	31.717665	N
hsa-mir-218-2	168	31.529987	N
hsa-mir-219a-1	0	0.000000	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	2	0.375357	N
hsa-mir-22	12579	2360.807776	N
