miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	146120	13977.908935	N
hsa-let-7a-2	142248	13607.511567	Y
hsa-let-7a-3	143228	13701.258834	N
hsa-let-7b	57197	5471.492317	N
hsa-let-7c	31066	2971.788386	Y
hsa-let-7d	32222	3082.371898	N
hsa-let-7e	16101	1540.229344	N
hsa-let-7f-1	150790	14424.643363	N
hsa-let-7f-2	158124	15126.217303	N
hsa-let-7g	189054	18084.995865	N
hsa-let-7i	77359	7400.198859	N
hsa-mir-1-1	1452	138.899013	N
hsa-mir-1-2	1552	148.465061	N
hsa-mir-100	23851	2281.598043	Y
hsa-mir-101-1	39120	3742.237870	N
hsa-mir-101-2	40165	3842.203068	N
hsa-mir-103a-1	117403	11230.827010	Y
hsa-mir-103a-2	122238	11693.345417	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	520	49.743448	Y
hsa-mir-106b	25658	2454.456525	N
hsa-mir-107	15971	1527.793482	Y
hsa-mir-10a	63891	6111.843551	N
hsa-mir-10b	115397	11038.932092	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	21	2.008870	N
hsa-mir-1180	818	78.250270	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	10	0.956605	N
hsa-mir-1185-2	1	0.095660	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.191321	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1925	184.146419	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.095660	N
hsa-mir-1226	98	9.374727	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	117	11.192276	N
hsa-mir-1229	114	10.905294	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	7	0.669623	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.095660	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	5	0.478302	N
hsa-mir-124-2	7	0.669623	N
hsa-mir-124-3	5	0.478302	N
hsa-mir-1243	1	0.095660	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	275	26.306631	N
hsa-mir-1248	48	4.591703	N
hsa-mir-1249	258	24.680403	N
hsa-mir-1250	10	0.956605	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	18	1.721889	N
hsa-mir-1254-2	21	2.008870	N
hsa-mir-1255a	3	0.286981	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	4	0.382642	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	116312	11126.461429	N
hsa-mir-125b-1	46083	4408.321773	N
hsa-mir-125b-2	47107	4506.278101	N
hsa-mir-126	69336	6632.714850	N
hsa-mir-1260a	1	0.095660	N
hsa-mir-1260b	10	0.956605	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.478302	N
hsa-mir-1263	1	0.095660	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.286981	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2660	254.456869	N
hsa-mir-1269b	4	0.382642	N
hsa-mir-127	745	71.267056	N
hsa-mir-1270	1034	98.912933	N
hsa-mir-1271	1892	180.989623	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.095660	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	4	0.382642	N
hsa-mir-1275	15	1.434907	N
hsa-mir-1276	4	0.382642	N
hsa-mir-1277	18	1.721889	N
hsa-mir-1278	16	1.530568	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3318	317.401463	N
hsa-mir-128-2	2498	238.959872	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	2	0.191321	N
hsa-mir-1284	12	1.147926	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.191321	N
hsa-mir-1287	80	7.652838	N
hsa-mir-1288	1	0.095660	N
hsa-mir-1289-1	2	0.191321	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	11	1.052265	N
hsa-mir-129-2	25	2.391512	N
