miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	194822	20243.722271	N
hsa-let-7a-2	191843	19934.177925	Y
hsa-let-7a-3	192866	20040.476638	N
hsa-let-7b	62791	6524.538118	N
hsa-let-7c	14126	1467.815857	Y
hsa-let-7d	33920	3524.586851	N
hsa-let-7e	12414	1289.923973	N
hsa-let-7f-1	198233	20598.155224	N
hsa-let-7f-2	209082	21725.461908	N
hsa-let-7g	196750	20444.058458	N
hsa-let-7i	68056	7071.618005	N
hsa-mir-1-1	302	31.380461	N
hsa-mir-1-2	319	33.146911	N
hsa-mir-100	141540	14707.253032	Y
hsa-mir-101-1	95170	9889.001491	N
hsa-mir-101-2	101954	10593.918862	N
hsa-mir-103a-1	81471	8465.554697	Y
hsa-mir-103a-2	84271	8756.499366	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	348	36.160266	Y
hsa-mir-106b	20026	2080.877838	N
hsa-mir-107	8165	848.415437	Y
hsa-mir-10a	29815	3098.041184	N
hsa-mir-10b	378432	39322.418960	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.415635	N
hsa-mir-1180	637	66.189912	N
hsa-mir-1181	2	0.207818	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.415635	N
hsa-mir-1185-2	1	0.103909	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.207818	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	384	39.900983	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	81	8.416614	N
hsa-mir-1227	2	0.207818	N
hsa-mir-1228	75	7.793161	N
hsa-mir-1229	34	3.532900	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	8	0.831270	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	24	2.493811	N
hsa-mir-124-2	36	3.740717	N
hsa-mir-124-3	36	3.740717	N
hsa-mir-1243	1	0.103909	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.103909	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	59	6.130620	N
hsa-mir-1248	10	1.039088	N
hsa-mir-1249	119	12.365148	N
hsa-mir-1250	9	0.935179	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.415635	N
hsa-mir-1254-2	4	0.415635	N
hsa-mir-1255a	2	0.207818	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.207818	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	195935	20359.372777	N
hsa-mir-125b-1	55273	5743.351681	N
