miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	246755	23361.953158	N
hsa-let-7a-2	235579	22303.846175	Y
hsa-let-7a-3	236748	22414.523257	N
hsa-let-7b	68242	6460.928481	N
hsa-let-7c	45782	4334.489431	Y
hsa-let-7d	45467	4304.666265	N
hsa-let-7e	24705	2338.988279	N
hsa-let-7f-1	236906	22429.482178	N
hsa-let-7f-2	259796	24596.632217	N
hsa-let-7g	202109	19135.016477	N
hsa-let-7i	74160	7021.225289	N
hsa-mir-1-1	1141	108.026133	N
hsa-mir-1-2	1276	120.807490	N
hsa-mir-100	69858	6613.926055	Y
hsa-mir-101-1	80536	7624.884033	N
hsa-mir-101-2	86875	8225.039738	N
hsa-mir-103a-1	79525	7529.165873	Y
hsa-mir-103a-2	81949	7758.662233	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	462	43.740643	Y
hsa-mir-106b	18840	1783.709337	N
hsa-mir-107	8614	815.545235	Y
hsa-mir-10a	227208	21511.307382	N
hsa-mir-10b	353813	33497.853063	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	17	1.609504	N
hsa-mir-1180	784	74.226546	N
hsa-mir-1181	1	0.094677	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	0.757414	N
hsa-mir-1185-2	3	0.284030	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.473384	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3562	337.238464	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.189353	N
hsa-mir-1226	62	5.869956	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	42	3.976422	N
hsa-mir-1229	20	1.893534	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.284030	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	32	3.029655	N
hsa-mir-124-2	26	2.461595	N
