miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	202369	9171.944326	N
hsa-let-7a-2	197081	8932.276978	Y
hsa-let-7a-3	196985	8927.925982	N
hsa-let-7b	55207	2502.139806	N
hsa-let-7c	63424	2874.557847	Y
hsa-let-7d	29859	1353.295641	N
hsa-let-7e	12804	580.314056	N
hsa-let-7f-1	297372	13477.753155	N
hsa-let-7f-2	318054	14415.120798	N
hsa-let-7g	454004	20576.765275	N
hsa-let-7i	87798	3979.257534	N
hsa-mir-1-1	185	8.384731	N
hsa-mir-1-2	209	9.472480	N
hsa-mir-100	8037	364.259924	Y
hsa-mir-101-1	56768	2572.888810	N
hsa-mir-101-2	59999	2719.327010	N
hsa-mir-103a-1	64473	2922.101540	Y
hsa-mir-103a-2	66653	3020.905401	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	605	27.420338	Y
hsa-mir-106b	19758	895.489309	N
hsa-mir-107	4621	209.436992	Y
hsa-mir-10a	416712	18886.584724	N
hsa-mir-10b	217088	9839.051682	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	9	0.407906	N
hsa-mir-1180	3712	168.238502	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.135969	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	12	0.543874	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	0.271937	N
hsa-mir-1229	4	0.181291	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.135969	N
hsa-mir-1236	3	0.135969	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	2	0.090646	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	1	0.045323	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	2	0.090646	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	47	2.130175	N
hsa-mir-1248	21	0.951780	N
hsa-mir-1249	129	5.846651	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	4	0.181291	N
hsa-mir-1252	1	0.045323	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	25	1.133072	N
hsa-mir-1254-2	19	0.861135	N
hsa-mir-1255a	14	0.634520	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.090646	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	297006	13461.164984	N
hsa-mir-125b-1	110002	4985.606589	N
hsa-mir-125b-2	113004	5121.665851	N
hsa-mir-126	15005	680.069698	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	20	0.906457	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.181291	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	3	0.135969	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	4	0.181291	N
hsa-mir-1267	2	0.090646	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	389	17.630597	N
hsa-mir-1270	283	12.826373	N
hsa-mir-1271	3205	145.259805	N
hsa-mir-1272	3	0.135969	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	3	0.135969	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	11	0.498552	N
hsa-mir-1276	2	0.090646	N
hsa-mir-1277	9	0.407906	N
hsa-mir-1278	24	1.087749	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	11147	505.214057	N
hsa-mir-128-2	6235	282.588108	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	6	0.271937	N
hsa-mir-1285-1	2	0.090646	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.045323	N
hsa-mir-1287	132	5.982619	N
hsa-mir-1288	2	0.090646	N
hsa-mir-1289-1	3	0.135969	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	81	3.671153	N
hsa-mir-129-2	68	3.081955	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	125	5.665359	N
hsa-mir-1292	22	0.997103	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	16	0.725166	N
hsa-mir-1295a	78	3.535184	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	453	20.531261	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	103	4.668256	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	855	38.751056	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	7	0.317260	N
hsa-mir-1304	31	1.405009	N
hsa-mir-1305	16	0.725166	N
hsa-mir-1306	145	6.571816	N
hsa-mir-1307	1626	73.694990	N
hsa-mir-130a	1109	50.263065	N
hsa-mir-130b	934	42.331563	N
hsa-mir-132	1438	65.174290	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	23	1.042426	N
hsa-mir-133a-2	44	1.994206	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	46	2.084852	N
hsa-mir-1343	33	1.495655	N
hsa-mir-135a-1	5430	246.103196	N
hsa-mir-135a-2	6028	273.206274	N
hsa-mir-135b	20358	922.683032	N
hsa-mir-136	68	3.081955	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1377	62.409595	N
hsa-mir-138-2	394	17.857212	N
hsa-mir-139	152	6.889077	N
hsa-mir-140	68012	3082.499185	N
hsa-mir-141	23	1.042426	N
hsa-mir-142	4534	205.493903	N
hsa-mir-143	61353	2780.694179	N
hsa-mir-144	1827	82.804888	N
hsa-mir-145	6815	308.875374	N
hsa-mir-1468	167	7.568920	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	8313	376.769037	N
hsa-mir-146b	8079	366.163485	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	100	4.532287	N
hsa-mir-148a	35184	1594.639936	N
hsa-mir-148b	13222	599.259016	N
hsa-mir-149	1896	85.932166	N
hsa-mir-150	1479	67.032528	N
hsa-mir-151a	53348	2417.884587	N
hsa-mir-151b	356	16.134943	N
hsa-mir-152	30435	1379.401616	N
hsa-mir-153-1	1	0.045323	N
hsa-mir-153-2	1	0.045323	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	5	0.226614	N
hsa-mir-1539	1	0.045323	N
hsa-mir-154	24	1.087749	N
hsa-mir-155	1520	68.890766	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1090	49.401931	N
hsa-mir-15b	10512	476.434033	N
hsa-mir-16-1	24477	1109.367943	N
hsa-mir-16-2	25627	1161.489246	N
hsa-mir-17	3880	175.852744	Y
hsa-mir-181a-1	13273	601.570483	N
hsa-mir-181a-2	15972	723.896915	N
hsa-mir-181b-1	2392	108.412310	N
hsa-mir-181b-2	2975	134.835545	N
hsa-mir-181c	2606	118.111405	N
hsa-mir-181d	1039	47.090464	N
hsa-mir-182	74139	3360.192423	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	50715	2298.549464	N
hsa-mir-184	0	0.000000	N
hsa-mir-185	3364	152.466142	N
hsa-mir-186	23578	1068.622681	N
hsa-mir-187	3	0.135969	N
hsa-mir-188	54	2.447435	N
hsa-mir-18a	151	6.843754	N
hsa-mir-18b	19	0.861135	N
hsa-mir-1908	12	0.543874	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	1778	80.584067	N
hsa-mir-190b	9	0.407906	N
hsa-mir-191	174261	7898.009034	N
hsa-mir-1910	1	0.045323	N
hsa-mir-1911	18	0.815812	N
hsa-mir-1912	3	0.135969	N
hsa-mir-1913	1	0.045323	N
hsa-mir-1914	11	0.498552	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	4585	207.805369	Y
hsa-mir-193a	1235	55.973747	N
hsa-mir-193b	388	17.585274	N
hsa-mir-194-1	940	42.603500	N
hsa-mir-194-2	3051	138.280083	N
hsa-mir-195	4031	182.696498	N
hsa-mir-196a-1	16636	753.991302	N
hsa-mir-196a-2	38074	1725.623037	N
hsa-mir-196b	26265	1190.405239	N
hsa-mir-197	4870	220.722388	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	43	1.948884	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	4545	205.992454	Y
hsa-mir-199a-2	7490	339.468313	Y
hsa-mir-199b	9290	421.049483	Y
hsa-mir-19a	773	35.034580	N
hsa-mir-19b-1	3701	167.739950	N
hsa-mir-19b-2	3875	175.626130	N
hsa-mir-200a	76945	3487.368402	N
hsa-mir-200b	324208	14694.037753	N
hsa-mir-200c	481	21.800302	N
hsa-mir-202	62	2.810018	N
hsa-mir-203a	647	29.323898	N
hsa-mir-203b	31	1.405009	N
hsa-mir-204	94009	4260.757894	N
hsa-mir-205	206	9.336512	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	12	0.543874	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	11293	511.831196	N
hsa-mir-20b	359	16.270911	N
hsa-mir-21	8624720	390897.082408	N
hsa-mir-210	2388	108.231019	N
hsa-mir-211	171	7.750211	N
hsa-mir-2110	340	15.409777	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	123	5.574713	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	41	1.858238	N
hsa-mir-214	824	37.346047	N
