miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	239212	22270.350164	N
hsa-let-7a-2	235921	21963.962013	Y
hsa-let-7a-3	235196	21896.465383	N
hsa-let-7b	148600	13834.481692	N
hsa-let-7c	7318	681.297019	Y
hsa-let-7d	81639	7600.492940	N
hsa-let-7e	7824	728.405012	N
hsa-let-7f-1	165122	15372.660066	N
hsa-let-7f-2	170186	15844.112390	N
hsa-let-7g	260043	24209.691269	N
hsa-let-7i	97575	9084.115418	N
hsa-mir-1-1	344	32.025987	N
hsa-mir-1-2	399	37.146421	N
hsa-mir-100	59747	5562.374008	Y
hsa-mir-101-1	6736	627.113517	N
hsa-mir-101-2	7457	694.237752	N
hsa-mir-103a-1	147217	13705.726051	Y
hsa-mir-103a-2	156469	14567.076149	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	2	0.186198	N
hsa-mir-106a	1939	180.518573	Y
hsa-mir-106b	29282	2726.119064	N
hsa-mir-107	24352	2267.141979	Y
hsa-mir-10a	60901	5669.810024	N
hsa-mir-10b	172530	16062.335977	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	857	79.785672	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1073	99.895012	N
hsa-mir-1224	2	0.186198	N
hsa-mir-1225	5	0.465494	N
hsa-mir-1226	107	9.961572	N
hsa-mir-1227	4	0.372395	N
hsa-mir-1228	40	3.723952	N
hsa-mir-1229	54	5.027335	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	17	1.582680	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	3	0.279296	N
hsa-mir-124-2	1	0.093099	N
hsa-mir-124-3	1	0.093099	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	14	1.303383	N
hsa-mir-1248	27	2.513668	N
hsa-mir-1249	342	31.839790	N
hsa-mir-1250	13	1.210284	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	25	2.327470	N
hsa-mir-1254-2	40	3.723952	N
hsa-mir-1255a	46	4.282545	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.465494	N
hsa-mir-125a	102865	9576.608070	N
hsa-mir-125b-1	30579	2846.868208	N
hsa-mir-125b-2	29893	2783.002431	N
hsa-mir-126	57213	5326.461649	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	18	1.675778	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	56	5.213533	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1192	110.973770	N
hsa-mir-1270	363	33.794864	N
hsa-mir-1271	1300	121.028440	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.186198	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.093099	N
hsa-mir-1275	9	0.837889	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	7	0.651692	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2085	194.110998	N
hsa-mir-128-2	1540	143.372152	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.093099	N
hsa-mir-1283-2	3	0.279296	N
hsa-mir-1284	68	6.330718	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	43	4.003248	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	1	0.093099	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	21	1.955075	N
hsa-mir-129-2	6	0.558593	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	18	1.675778	N
hsa-mir-1292	210	19.550748	N
hsa-mir-1293	54	5.027335	N
hsa-mir-1294	89	8.285793	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	310	28.860628	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1675	155.940490	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	190	17.688772	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	176	16.385389	N
hsa-mir-1307	1551	144.396239	N
hsa-mir-130a	598	55.673082	N
hsa-mir-130b	1222	113.766734	N
hsa-mir-132	1440	134.062272	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	88	8.192694	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	333	31.001900	Y
hsa-mir-133a-2	276	25.695269	N
hsa-mir-133b	5	0.465494	Y
hsa-mir-134	79	7.354805	N
hsa-mir-1343	33	3.072260	N
hsa-mir-135a-1	126	11.730449	N
hsa-mir-135a-2	216	20.109341	N
hsa-mir-135b	160	14.895808	N
hsa-mir-136	9	0.837889	N
hsa-mir-137	29	2.699865	N
hsa-mir-138-1	20	1.861976	N
hsa-mir-138-2	4	0.372395	N
hsa-mir-139	2697	251.087464	N
hsa-mir-140	110679	10304.082094	N
hsa-mir-141	0	0.000000	N
hsa-mir-142	8442	785.940070	N
hsa-mir-143	35335	3289.646101	N
hsa-mir-144	13358	1243.613771	N
hsa-mir-145	20672	1924.538395	N
hsa-mir-1468	117	10.892560	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	14132	1315.672243	N
hsa-mir-146b	65564	6103.929728	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	10	0.930988	N
hsa-mir-148a	6128	570.509447	N
hsa-mir-148b	4772	444.267474	N
hsa-mir-149	241	22.436811	N
hsa-mir-150	35192	3276.332972	N
hsa-mir-151a	15757	1466.957793	N
hsa-mir-151b	138	12.847634	N
hsa-mir-152	2530	235.539964	N
hsa-mir-153-1	5	0.465494	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	16	1.489581	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	32	2.979162	N
hsa-mir-155	36077	3358.725410	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2968	276.317239	N
hsa-mir-15b	66786	6217.696462	N
hsa-mir-16-1	156377	14558.511060	N
hsa-mir-16-2	163525	15223.981283	N
hsa-mir-17	6981	649.922723	Y
hsa-mir-181a-1	23141	2154.399333	N
hsa-mir-181a-2	23115	2151.978764	N
hsa-mir-181b-1	5590	520.422292	N
hsa-mir-181b-2	6875	640.054251	N
hsa-mir-181c	116	10.799461	N
hsa-mir-181d	295	27.464146	N
hsa-mir-182	40918	3809.416702	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	19568	1821.757320	N
hsa-mir-184	23	2.141272	N
hsa-mir-185	10979	1022.131726	N
hsa-mir-186	12383	1152.842441	N
hsa-mir-187	1	0.093099	N
hsa-mir-188	3	0.279296	N
hsa-mir-18a	529	49.249265	N
hsa-mir-18b	251	23.367799	N
hsa-mir-1908	18	1.675778	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	10	0.930988	N
hsa-mir-190b	54	5.027335	N
hsa-mir-191	177149	16492.359335	N
hsa-mir-1910	9	0.837889	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.093099	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	13502	1257.019999	Y
hsa-mir-193a	4194	390.456368	N
hsa-mir-193b	3267	304.153780	N
hsa-mir-194-1	2421	225.392195	N
hsa-mir-194-2	6659	619.944910	N
hsa-mir-195	1148	106.877422	N
hsa-mir-196a-1	838	78.016794	N
hsa-mir-196a-2	1729	160.967825	N
hsa-mir-196b	706	65.727753	N
hsa-mir-197	14409	1341.460610	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	284	26.440059	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	6247	581.588204	Y
hsa-mir-199a-2	11242	1046.616710	Y
hsa-mir-199b	14898	1386.985924	Y
hsa-mir-19a	207	19.271452	N
hsa-mir-19b-1	1357	126.335072	N
hsa-mir-19b-2	1412	131.455506	N
hsa-mir-200a	1413	131.548605	N
hsa-mir-200b	15949	1484.832762	N
hsa-mir-200c	757	70.475792	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	373	34.725852	N
hsa-mir-203b	11	1.024087	N
hsa-mir-204	4417	411.217400	N
hsa-mir-205	50	4.654940	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	6	0.558593	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	14680	1366.690385	N
hsa-mir-20b	2357	219.433872	N
hsa-mir-21	565537	52650.816099	N
hsa-mir-210	1416	131.827901	N
hsa-mir-211	20	1.861976	N
hsa-mir-2110	660	61.445208	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	7	0.651692	N
hsa-mir-2116	32	2.979162	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	128	11.916646	N
hsa-mir-214	2853	265.610877	N
hsa-mir-215	17	1.582680	Y
hsa-mir-216a	25	2.327470	N
hsa-mir-216b	97	9.030584	N
hsa-mir-217	95	8.844386	N
hsa-mir-218-1	105	9.775374	N
hsa-mir-218-2	83	7.727200	N
hsa-mir-219a-1	0	0.000000	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	1	0.093099	N
hsa-mir-22	17904	1666.840917	N
hsa-mir-221	29184	2716.995381	N
hsa-mir-222	17788	1656.041456	N
hsa-mir-223	20594	1917.276689	N
hsa-mir-224	2756	256.580293	N
hsa-mir-2276	1	0.093099	N
hsa-mir-2277	72	6.703114	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	80	7.447904	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	147372	13720.156365	Y
hsa-mir-23b	33358	3105.589773	Y
hsa-mir-23c	1	0.093099	N
hsa-mir-24-1	8835	822.527899	N
hsa-mir-24-2	9201	856.602060	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	131508	12243.237001	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	153308	14272.790842	N
hsa-mir-26a-2	154685	14400.987890	N
hsa-mir-26b	86818	8082.651625	N
hsa-mir-27a	5465	508.784942	Y
hsa-mir-27b	24587	2289.020198	Y
hsa-mir-28	7933	738.552781	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	262	24.391886	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	27	2.513668	N
hsa-mir-29a	32700	3044.330763	N
hsa-mir-29b-1	751	69.917199	N
hsa-mir-29b-2	1444	134.434667	Y
hsa-mir-29c	821	76.434115	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	24	2.234371	N
hsa-mir-301b	8	0.744790	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	80	7.447904	N
hsa-mir-3065	62	5.772126	N
hsa-mir-3074	20	1.861976	N
hsa-mir-30a	128559	11968.688639	Y
hsa-mir-30b	13060	1215.870329	N
hsa-mir-30c-1	26619	2478.196959	N
hsa-mir-30c-2	27312	2542.714428	N
hsa-mir-30d	235690	21942.456190	N
hsa-mir-30e	10883	1013.194241	Y
hsa-mir-31	248	23.088502	N
hsa-mir-3115	2	0.186198	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	6	0.558593	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	8	0.744790	N
hsa-mir-3128	3	0.279296	N
hsa-mir-3129	0	0.000000	N
hsa-mir-3130-1	5	0.465494	N
hsa-mir-3130-2	0	0.000000	N
hsa-mir-3131	6	0.558593	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	27	2.513668	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	7	0.651692	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	3	0.279296	N
hsa-mir-3139	15	1.396482	N
hsa-mir-3140	50	4.654940	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	68	6.330718	N
hsa-mir-3144	3	0.279296	N
hsa-mir-3145	0	0.000000	N
hsa-mir-3146	16	1.489581	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	3	0.279296	N
hsa-mir-3150a	14	1.303383	N
hsa-mir-3150b	2	0.186198	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	0	0.000000	N
hsa-mir-3155a	0	0.000000	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	36	3.351557	N
hsa-mir-3158-1	54	5.027335	N
hsa-mir-3158-2	49	4.561841	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	0	0.000000	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	51	4.748039	N
hsa-mir-3164	1	0.093099	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	0	0.000000	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	0	0.000000	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	88	8.192694	N
hsa-mir-3174	10	0.930988	N
hsa-mir-3175	4	0.372395	N
hsa-mir-3176	11	1.024087	N
hsa-mir-3177	14	1.303383	N
hsa-mir-3178	0	0.000000	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3179-4	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	0	0.000000	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	0	0.000000	N
hsa-mir-3182	0	0.000000	N
hsa-mir-3183	0	0.000000	N
hsa-mir-3184	0	0.000000	N
hsa-mir-3185	0	0.000000	N
hsa-mir-3186	0	0.000000	N
hsa-mir-3187	34	3.165359	N
hsa-mir-3188	9	0.837889	N
hsa-mir-3189	0	0.000000	N
hsa-mir-3190	5	0.465494	N
hsa-mir-3191	2	0.186198	N
hsa-mir-3192	0	0.000000	N
hsa-mir-3193	0	0.000000	N
hsa-mir-3194	0	0.000000	N
hsa-mir-3195	0	0.000000	N
hsa-mir-3196	0	0.000000	N
hsa-mir-3197	0	0.000000	N
hsa-mir-3198-1	0	0.000000	N
hsa-mir-3198-2	0	0.000000	N
hsa-mir-3199-1	0	0.000000	N
hsa-mir-3199-2	4	0.372395	N
hsa-mir-32	73	6.796212	N
hsa-mir-3200	187	17.409476	N
hsa-mir-3201	0	0.000000	N
hsa-mir-3202-1	8	0.744790	N
hsa-mir-3202-2	5	0.465494	N
hsa-mir-320a	83077	7734.369014	Y
hsa-mir-320b-1	506	47.107993	Y
hsa-mir-320b-2	722	67.217334	Y
hsa-mir-320c-1	4	0.372395	N
hsa-mir-320c-2	23	2.141272	N
hsa-mir-320d-1	21	1.955075	N
hsa-mir-320d-2	15	1.396482	N
hsa-mir-320e	0	0.000000	N
hsa-mir-323a	122	11.358054	Y
hsa-mir-323b	24	2.234371	Y
hsa-mir-324	1828	170.184607	N
hsa-mir-325	0	0.000000	N
hsa-mir-326	46	4.282545	N
hsa-mir-328	1650	153.613020	N
hsa-mir-329-1	62	5.772126	N
hsa-mir-329-2	65	6.051422	N
hsa-mir-330	756	70.382693	N
hsa-mir-331	1099	102.315581	N
hsa-mir-335	513	47.759684	N
hsa-mir-337	25	2.327470	N
hsa-mir-338	306	28.488233	N
hsa-mir-339	2757	256.673392	N
hsa-mir-33a	28	2.606766	N
hsa-mir-33b	17	1.582680	N
hsa-mir-340	1785	166.181358	N
hsa-mir-342	15853	1475.895278	N
hsa-mir-345	201	18.712859	N
hsa-mir-346	14	1.303383	N
hsa-mir-34a	4175	388.687490	N
hsa-mir-34b	15	1.396482	N
hsa-mir-34c	108	10.054670	N
hsa-mir-3529	0	0.000000	N
hsa-mir-3591	40	3.723952	N
hsa-mir-3605	160	14.895808	N
hsa-mir-3606	0	0.000000	N
hsa-mir-3607	181	16.850883	N
hsa-mir-3609	478	44.501226	N
hsa-mir-361	18764	1746.905885	N
hsa-mir-3610	0	0.000000	N
hsa-mir-3611	0	0.000000	N
hsa-mir-3612	0	0.000000	N
hsa-mir-3613	325	30.257110	N
hsa-mir-3614	5	0.465494	N
hsa-mir-3615	976	90.864429	N
hsa-mir-3616	0	0.000000	N
hsa-mir-3617	19	1.768877	N
hsa-mir-3618	0	0.000000	N
hsa-mir-3619	0	0.000000	N
hsa-mir-362	3456	321.749453	N
hsa-mir-3620	16	1.489581	N
hsa-mir-3621	0	0.000000	N
hsa-mir-3622a	0	0.000000	N
hsa-mir-3622b	0	0.000000	N
hsa-mir-363	14438	1344.160476	N
hsa-mir-3646	0	0.000000	N
hsa-mir-3648-1	0	0.000000	N
hsa-mir-3648-2	0	0.000000	N
hsa-mir-3649	0	0.000000	N
hsa-mir-3650	0	0.000000	N
hsa-mir-3651	13	1.210284	N
hsa-mir-3652	0	0.000000	N
hsa-mir-3653	91	8.471991	N
hsa-mir-3654	3	0.279296	N
hsa-mir-3655	0	0.000000	N
hsa-mir-3656	0	0.000000	N
hsa-mir-3657	0	0.000000	N
hsa-mir-3658	0	0.000000	N
hsa-mir-3659	0	0.000000	N
hsa-mir-365a	7379	686.976046	Y
hsa-mir-365b	7393	688.279429	Y
hsa-mir-3660	0	0.000000	N
hsa-mir-3661	0	0.000000	N
hsa-mir-3662	0	0.000000	N
hsa-mir-3663	0	0.000000	N
hsa-mir-3664	3	0.279296	N
hsa-mir-3665	0	0.000000	N
hsa-mir-3666	0	0.000000	N
hsa-mir-3667	6	0.558593	N
hsa-mir-3668	0	0.000000	N
hsa-mir-367	0	0.000000	N
