miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	207848	22720.731268	N
hsa-let-7a-2	199146	21769.479375	Y
hsa-let-7a-3	199923	21854.416484	N
hsa-let-7b	67608	7390.512295	N
hsa-let-7c	14109	1542.313602	Y
hsa-let-7d	40669	4445.697914	N
hsa-let-7e	18967	2073.361832	N
hsa-let-7f-1	191391	20921.747999	N
hsa-let-7f-2	205132	22423.833987	N
hsa-let-7g	186232	20357.796205	N
hsa-let-7i	70762	7735.289182	N
hsa-mir-1-1	948	103.629832	N
hsa-mir-1-2	951	103.957774	N
hsa-mir-100	46699	5104.862349	Y
hsa-mir-101-1	37576	4107.589191	N
hsa-mir-101-2	39807	4351.469100	N
hsa-mir-103a-1	47591	5202.370587	Y
hsa-mir-103a-2	49664	5428.978858	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	402	43.944296	Y
hsa-mir-106b	17470	1909.718521	N
hsa-mir-107	5266	575.648411	Y
hsa-mir-10a	54271	5932.589232	N
hsa-mir-10b	341581	37339.642947	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	0.655885	N
hsa-mir-1180	506	55.312969	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	14	1.530398	N
hsa-mir-1185-2	11	1.202456	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	6	0.655885	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	6094	666.160542	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	27	2.951483	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	14	1.530398	N
hsa-mir-1229	5	0.546571	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.546571	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	3	0.327943	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.109314	N
hsa-mir-124-2	2	0.218628	N
hsa-mir-124-3	3	0.327943	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	1	0.109314	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.327943	N
hsa-mir-1245b	2	0.218628	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	48	5.247080	N
hsa-mir-1248	44	4.809823	N
hsa-mir-1249	157	17.162324	N
hsa-mir-1250	15	1.639713	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	0.765199	N
hsa-mir-1254-2	6	0.655885	N
hsa-mir-1255a	19	2.076969	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	181457	19835.821051	N
hsa-mir-125b-1	39200	4285.115400	N
hsa-mir-125b-2	39615	4330.480780	N
hsa-mir-126	267392	29229.734110	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	6	0.655885	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	14	1.530398	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	9	0.983828	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3	0.327943	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1160	126.804435	N
hsa-mir-1270	180	19.676550	N
hsa-mir-1271	2667	291.540887	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.218628	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.218628	N
hsa-mir-1276	5	0.546571	N
hsa-mir-1277	8	0.874513	N
hsa-mir-1278	13	1.421084	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3009	328.926333	N
hsa-mir-128-2	1957	213.927828	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	8	0.874513	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	73	7.979934	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	3	0.327943	N
hsa-mir-129-2	3	0.327943	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	23	2.514226	N
hsa-mir-1292	30	3.279425	N
hsa-mir-1293	1	0.109314	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	49	5.356394	N
hsa-mir-1295b	4	0.437257	N
hsa-mir-1296	404	44.162924	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	3	0.327943	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	690	75.426776	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	2	0.218628	N
hsa-mir-1304	25	2.732854	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	71	7.761306	N
hsa-mir-1307	1134	123.962267	N
hsa-mir-130a	1237	135.221626	N
hsa-mir-130b	984	107.565142	N
hsa-mir-132	1027	112.265651	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	263	28.749626	Y
hsa-mir-133a-2	270	29.514825	N
hsa-mir-133b	2	0.218628	Y
hsa-mir-134	59	6.449536	N
hsa-mir-1343	1	0.109314	N
hsa-mir-135a-1	437	47.770292	N
hsa-mir-135a-2	418	45.693322	N
hsa-mir-135b	2845	310.998809	N
hsa-mir-136	154	16.834382	N
hsa-mir-137	11	1.202456	N
hsa-mir-138-1	10	1.093142	N
hsa-mir-138-2	3	0.327943	N
hsa-mir-139	4743	518.477101	N
hsa-mir-140	73176	7999.173585	N
hsa-mir-141	21	2.295598	N
hsa-mir-142	8864	968.960788	N
hsa-mir-143	443239	48452.302676	N
hsa-mir-144	6572	718.412715	N
hsa-mir-145	60519	6615.584156	N
hsa-mir-1468	187	20.441749	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	10012	1094.453454	N
hsa-mir-146b	125163	13682.089256	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	22	2.404912	N
hsa-mir-148a	26485	2895.185749	N
hsa-mir-148b	7162	782.908074	N
hsa-mir-149	300	32.794251	N
hsa-mir-150	4783	522.849667	N
hsa-mir-151a	26304	2875.399885	N
hsa-mir-151b	199	21.753520	N
hsa-mir-152	5911	646.156049	N
hsa-mir-153-1	4	0.437257	N
hsa-mir-153-2	3	0.327943	N
hsa-mir-1537	1	0.109314	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	51	5.575023	N
hsa-mir-155	19194	2098.176148	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	3524	385.223129	N
hsa-mir-15b	15147	1655.781708	N
hsa-mir-16-1	35554	3886.555942	N
hsa-mir-16-2	37113	4056.976731	N
hsa-mir-17	2906	317.666973	Y
hsa-mir-181a-1	32965	3603.541560	N
hsa-mir-181a-2	33192	3628.355877	N
hsa-mir-181b-1	6170	674.468419	N
hsa-mir-181b-2	7368	805.426793	N
hsa-mir-181c	1120	122.431869	N
hsa-mir-181d	719	78.596887	N
hsa-mir-182	2525	276.018275	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	1522	166.376164	N
hsa-mir-184	0	0.000000	N
hsa-mir-185	4591	501.861347	N
hsa-mir-186	19706	2154.145002	N
hsa-mir-187	9	0.983828	N
hsa-mir-188	26	2.842168	N
hsa-mir-18a	401	43.834982	Y
hsa-mir-18b	10	1.093142	Y
hsa-mir-1908	13	1.421084	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	2205	241.037741	N
hsa-mir-190b	96	10.494160	N
hsa-mir-191	44479	4862.184895	N
hsa-mir-1910	12	1.311770	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	1	0.109314	N
hsa-mir-192	64001	6996.216090	Y
hsa-mir-193a	2419	264.430973	N
hsa-mir-193b	716	78.268945	N
hsa-mir-194-1	16589	1813.412739	N
hsa-mir-194-2	47554	5198.325963	N
hsa-mir-195	19883	2173.493610	N
hsa-mir-196a-1	2622	286.621749	N
hsa-mir-196a-2	7165	783.236016	N
hsa-mir-196b	9724	1062.970973	N
hsa-mir-197	3918	428.292912	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	13	1.421084	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	15294	1671.850891	Y
hsa-mir-199a-2	24245	2650.322012	Y
hsa-mir-199b	27828	3041.994677	Y
hsa-mir-19a	1394	152.383951	N
hsa-mir-19b-1	3500	382.599589	N
hsa-mir-19b-2	3561	389.267754	N
hsa-mir-200a	14683	1605.059934	N
hsa-mir-200b	26621	2910.052476	N
hsa-mir-200c	361	39.462415	N
hsa-mir-202	6	0.655885	N
hsa-mir-203a	1102	120.464214	N
hsa-mir-203b	2	0.218628	N
hsa-mir-204	22403	2448.965314	N
hsa-mir-205	71	7.761306	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	1	0.109314	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	9554	1044.387565	N
hsa-mir-20b	199	21.753520	N
hsa-mir-21	2047076	223774.410537	N
hsa-mir-210	5445	595.215647	N
hsa-mir-211	48	5.247080	N
hsa-mir-2110	174	19.020665	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	6	0.655885	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	39	4.263253	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	128	13.992214	N
hsa-mir-214	2068	226.061700	N
hsa-mir-215	182	19.895179	Y
hsa-mir-216a	9	0.983828	N
hsa-mir-216b	11	1.202456	N
hsa-mir-217	39	4.263253	N
hsa-mir-218-1	701	76.629232	N
hsa-mir-218-2	654	71.491466	N
hsa-mir-219a-1	17	1.858341	N
hsa-mir-219a-2	4	0.437257	N
hsa-mir-219b	13	1.421084	N
hsa-mir-22	14190	1551.168049	N
hsa-mir-221	15406	1684.094078	N
hsa-mir-222	9984	1091.392657	N
hsa-mir-223	7464	815.920953	N
hsa-mir-224	12270	1341.284846	N
hsa-mir-2276	3	0.327943	N
hsa-mir-2277	67	7.324049	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	279	30.498653	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	163919	17918.669166	Y
hsa-mir-23b	57463	6281.520057	Y
hsa-mir-23c	7	0.765199	N
hsa-mir-24-1	25900	2831.236961	N
hsa-mir-24-2	26733	2922.295663	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	21806	2383.704756	N
hsa-mir-2681	4	0.437257	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	296015	32358.633551	N
hsa-mir-26a-2	305900	33439.204105	N
hsa-mir-26b	153549	16785.081240	N
hsa-mir-27a	62633	6846.674308	Y
hsa-mir-27b	162109	17720.810521	Y
hsa-mir-28	15639	1709.564279	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	187	20.441749	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	37	4.044624	N
hsa-mir-29a	86928	9502.462028	N
hsa-mir-29b-1	1414	154.570234	Y
hsa-mir-29b-2	1703	186.162029	Y
hsa-mir-29c	6855	749.348624	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	129	14.101528	N
hsa-mir-301b	2	0.218628	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	33	3.607368	N
hsa-mir-3065	85	9.291704	N
hsa-mir-3074	30	3.279425	N
hsa-mir-30a	385959	42190.787111	Y
hsa-mir-30b	30938	3381.961741	Y
hsa-mir-30c-1	57687	6306.006431	Y
hsa-mir-30c-2	59322	6484.735096	Y
hsa-mir-30d	223374	24417.943046	N
hsa-mir-30e	44663	4882.298702	Y
hsa-mir-31	1586	173.372271	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	11	1.202456	N
hsa-mir-3116-2	2	0.218628	N
hsa-mir-3117	2	0.218628	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	2	0.218628	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	6	0.655885	N
hsa-mir-3125	6	0.655885	N
hsa-mir-3126	4	0.437257	N
hsa-mir-3127	14	1.530398	N
hsa-mir-3128	4	0.437257	N
hsa-mir-3129	17	1.858341	N
hsa-mir-3130-1	5	0.546571	N
hsa-mir-3130-2	7	0.765199	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	1	0.109314	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	1	0.109314	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	5	0.546571	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	2	0.218628	N
hsa-mir-3140	14	1.530398	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	10	1.093142	N
hsa-mir-3144	8	0.874513	N
hsa-mir-3145	14	1.530398	N
hsa-mir-3146	1	0.109314	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	1	0.109314	N
hsa-mir-3149	8	0.874513	N
hsa-mir-3150a	1	0.109314	N
hsa-mir-3150b	0	0.000000	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	0	0.000000	N
hsa-mir-3155a	4	0.437257	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	12	1.311770	N
hsa-mir-3158-1	10	1.093142	N
hsa-mir-3158-2	14	1.530398	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	0	0.000000	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	1	0.109314	N
hsa-mir-3164	0	0.000000	N
