miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	175266	17174.909381	N
hsa-let-7a-2	173464	16998.325293	Y
hsa-let-7a-3	172300	16884.260988	N
hsa-let-7b	64056	6277.064549	N
hsa-let-7c	13269	1300.274283	Y
hsa-let-7d	23970	2348.901543	N
hsa-let-7e	9956	975.622185	N
hsa-let-7f-1	187319	18356.023703	N
hsa-let-7f-2	196200	19226.302994	N
hsa-let-7g	288226	28244.242643	N
hsa-let-7i	134182	13148.948972	N
hsa-mir-1-1	3086	302.407600	N
hsa-mir-1-2	3211	314.656773	N
hsa-mir-100	49480	4848.712906	Y
hsa-mir-101-1	14244	1395.817838	N
hsa-mir-101-2	15182	1487.735637	N
hsa-mir-103a-1	73296	7182.523467	Y
hsa-mir-103a-2	76283	7475.229721	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	205	20.088645	Y
hsa-mir-106b	8336	816.872894	N
hsa-mir-107	6820	668.314915	Y
hsa-mir-10a	107664	10550.360273	N
hsa-mir-10b	252856	24778.216462	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.391974	N
hsa-mir-1180	312	30.573937	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	10	0.979934	N
hsa-mir-1185-2	5	0.489967	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.195987	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	475	46.546860	N
hsa-mir-1224	6	0.587960	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	25	2.449835	N
hsa-mir-1227	7	0.685954	N
hsa-mir-1228	53	5.193650	N
hsa-mir-1229	17	1.665888	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	8	0.783947	N
hsa-mir-1236	2	0.195987	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	4	0.391974	N
hsa-mir-124-2	2	0.195987	N
hsa-mir-124-3	3	0.293980	N
hsa-mir-1243	7	0.685954	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	1	0.097993	N
