miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	396555	38057.481572	N
hsa-let-7a-2	383531	36807.565066	Y
hsa-let-7a-3	384002	36852.767053	N
hsa-let-7b	142262	13652.919377	N
hsa-let-7c	46928	4503.691783	Y
hsa-let-7d	75921	7286.157175	N
hsa-let-7e	35349	3392.452286	N
hsa-let-7f-1	291745	27998.839912	N
hsa-let-7f-2	310332	29782.638905	N
hsa-let-7g	304018	29176.682762	N
hsa-let-7i	101989	9787.909591	N
hsa-mir-1-1	839	80.519038	N
hsa-mir-1-2	909	87.236955	N
hsa-mir-100	47563	4564.632891	N
hsa-mir-101-1	9515	913.156907	N
hsa-mir-101-2	10403	998.378487	N
hsa-mir-103a-1	90578	8692.793095	Y
hsa-mir-103a-2	95211	9137.423253	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	709	68.042906	Y
hsa-mir-106b	19101	1833.127701	N
hsa-mir-107	13996	1343.199587	Y
hsa-mir-10a	100124	9608.925079	N
hsa-mir-10b	346281	33232.673340	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	9	0.863732	N
hsa-mir-1180	937	89.924122	N
hsa-mir-1181	3	0.287911	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.671792	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1205	115.644148	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	59	5.662245	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	55	5.278364	N
hsa-mir-1229	31	2.975078	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.287911	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	3	0.287911	N
hsa-mir-124-1	5	0.479851	N
hsa-mir-124-2	5	0.479851	N
hsa-mir-124-3	1	0.095970	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
