miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	131172	23216.439332	N
hsa-let-7a-2	130017	23012.013178	Y
hsa-let-7a-3	129033	22837.852715	N
hsa-let-7b	39976	7075.445817	N
hsa-let-7c	2129	376.816694	Y
hsa-let-7d	21756	3850.645367	N
hsa-let-7e	6320	1118.591594	N
hsa-let-7f-1	156136	27634.876128	N
hsa-let-7f-2	165118	29224.621334	N
hsa-let-7g	108517	19206.677850	N
hsa-let-7i	34856	6169.245032	N
hsa-mir-1-1	169	29.911706	N
hsa-mir-1-2	174	30.796667	N
hsa-mir-100	121204	21452.179678	Y
hsa-mir-101-1	18180	3217.720756	N
hsa-mir-101-2	19270	3410.642408	N
hsa-mir-103a-1	32165	5692.958643	Y
hsa-mir-103a-2	33861	5993.137653	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.176992	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	165	29.203736	Y
hsa-mir-106b	7163	1267.796137	N
hsa-mir-107	7318	1295.229950	Y
hsa-mir-10a	206483	36545.909512	N
hsa-mir-10b	252127	44624.547917	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	8	1.415939	N
hsa-mir-1180	442	78.230615	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.176992	N
hsa-mir-1185-2	1	0.176992	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1371	242.656499	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	29	5.132778	N
hsa-mir-1227	5	0.884962	N
hsa-mir-1228	39	6.902701	N
hsa-mir-1229	11	1.946916	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.353985	N
hsa-mir-1236	2	0.353985	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	95	16.814272	N
hsa-mir-124-2	84	14.867357	N
hsa-mir-124-3	85	15.044349	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	14	2.477893	N
hsa-mir-1248	16	2.831877	N
hsa-mir-1249	175	30.973660	N
