miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	167068	15401.464295	N
hsa-let-7a-2	159018	14659.360555	Y
hsa-let-7a-3	159404	14694.944660	N
hsa-let-7b	62469	5758.817206	N
hsa-let-7c	29973	2763.114955	Y
hsa-let-7d	31886	2939.468303	N
hsa-let-7e	24550	2263.185939	N
hsa-let-7f-1	143633	13241.066638	N
hsa-let-7f-2	154820	14272.360369	N
hsa-let-7g	178413	16447.323541	N
hsa-let-7i	82264	7583.654912	N
hsa-mir-1-1	6435	593.222058	N
hsa-mir-1-2	6652	613.226593	N
hsa-mir-100	52992	4885.162903	Y
hsa-mir-101-1	51463	4744.209286	N
hsa-mir-101-2	53282	4911.897075	N
hsa-mir-103a-1	79645	7342.217683	Y
hsa-mir-103a-2	83883	7732.905341	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.092187	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	595	54.851146	Y
hsa-mir-106b	19654	1811.839366	N
hsa-mir-107	9159	844.338901	Y
hsa-mir-10a	140568	12958.514096	N
hsa-mir-10b	292472	26962.057757	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	12	1.106242	N
hsa-mir-1180	1005	92.647734	N
hsa-mir-1181	1	0.092187	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.645308	N
hsa-mir-1185-2	5	0.460934	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.184374	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2742	252.776205	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	49	4.517153	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	50	4.609340	N
hsa-mir-1229	6	0.553121	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.184374	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.092187	N
hsa-mir-124-2	4	0.368747	N
hsa-mir-124-3	3	0.276560	N
hsa-mir-1243	2	0.184374	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.184374	N
hsa-mir-1245b	2	0.184374	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	105	9.679614	N
hsa-mir-1248	29	2.673417	N
hsa-mir-1249	109	10.048361	N
hsa-mir-1250	9	0.829681	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	10	0.921868	N
hsa-mir-1254-2	14	1.290615	N
hsa-mir-1255a	17	1.567176	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.276560	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	185428	17094.013942	N
hsa-mir-125b-1	74581	6875.383728	N
hsa-mir-125b-2	75020	6915.853733	N
hsa-mir-126	90739	8364.938041	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	37	3.410912	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	13	1.198428	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	1	0.092187	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.276560	N
hsa-mir-1267	1	0.092187	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	4	0.368747	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1274	117.445983	N
hsa-mir-1270	219	20.188909	N
hsa-mir-1271	3513	323.852228	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.184374	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.092187	N
hsa-mir-1276	7	0.645308	N
hsa-mir-1277	7	0.645308	N
hsa-mir-1278	21	1.935923	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3411	314.449175	N
hsa-mir-128-2	2277	209.909344	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	6	0.553121	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	62	5.715582	N
hsa-mir-1288	1	0.092187	N
hsa-mir-1289-1	1	0.092187	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	10	0.921868	N
hsa-mir-129-2	26	2.396857	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	33	3.042164	N
hsa-mir-1292	36	3.318725	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	13	1.198428	N
hsa-mir-1295a	5	0.460934	N
hsa-mir-1295b	1	0.092187	N
hsa-mir-1296	353	32.541940	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	862	79.465022	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
