miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	155827	20167.709843	N
hsa-let-7a-2	154113	19945.877589	Y
hsa-let-7a-3	153755	19899.543898	N
hsa-let-7b	63241	8184.885406	N
hsa-let-7c	22518	2914.363302	Y
hsa-let-7d	25508	3301.340221	N
hsa-let-7e	10382	1343.677050	N
hsa-let-7f-1	160142	20726.173190	N
hsa-let-7f-2	167541	21683.779286	N
hsa-let-7g	168340	21787.188838	N
hsa-let-7i	56436	7304.156999	N
hsa-mir-1-1	4766	616.833444	N
hsa-mir-1-2	5148	666.273305	N
hsa-mir-100	61904	8011.845894	Y
hsa-mir-101-1	19066	2467.592624	N
hsa-mir-101-2	20113	2603.099258	N
hsa-mir-103a-1	52443	6787.368090	Y
hsa-mir-103a-2	53813	6964.678585	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	144	18.637016	Y
hsa-mir-106b	5590	723.478589	N
hsa-mir-107	4800	621.233851	Y
hsa-mir-10a	118411	15325.191977	N
hsa-mir-10b	422803	54720.736618	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	0.776542	N
hsa-mir-1180	318	41.156743	N
hsa-mir-1181	14	1.811932	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.517695	N
hsa-mir-1185-2	7	0.905966	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	612	79.207316	N
hsa-mir-1224	4	0.517695	N
hsa-mir-1225	1	0.129424	N
hsa-mir-1226	16	2.070780	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	37	4.788678	N
hsa-mir-1229	9	1.164813	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.388271	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	3	0.388271	N
hsa-mir-124-1	14	1.811932	N
hsa-mir-124-2	13	1.682508	N
hsa-mir-124-3	12	1.553085	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	0.905966	N
hsa-mir-1245b	5	0.647119	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	53	6.859457	N
hsa-mir-1248	19	2.459051	N
hsa-mir-1249	193	24.978778	N
hsa-mir-1250	20	2.588474	N
hsa-mir-1251	1	0.129424	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	0.905966	N
hsa-mir-1254-2	7	0.905966	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	186479	24134.805675	N
hsa-mir-125b-1	67400	8723.158653	N
hsa-mir-125b-2	68913	8918.976740	N
hsa-mir-126	76944	9958.378626	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	3	0.388271	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	12	1.553085	N
hsa-mir-1263	6	0.776542	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	1	0.129424	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1080	139.777616	N
hsa-mir-1270	104	13.460067	N
hsa-mir-1271	1289	166.827174	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.388271	N
hsa-mir-1276	2	0.258847	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	7	0.905966	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2678	346.596719	N
hsa-mir-128-2	1821	235.680592	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
