miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	235608	18566.307363	N
hsa-let-7a-2	232791	18344.323016	Y
hsa-let-7a-3	232346	18309.256267	N
hsa-let-7b	97857	7711.296474	N
hsa-let-7c	18015	1419.612352	Y
hsa-let-7d	31884	2512.512920	N
hsa-let-7e	22756	1793.211140	N
hsa-let-7f-1	197702	15579.250697	N
hsa-let-7f-2	209227	16487.440115	N
hsa-let-7g	239266	18854.563926	N
hsa-let-7i	111119	8756.364418	N
hsa-mir-1-1	4729	372.653168	N
hsa-mir-1-2	5063	398.972930	N
hsa-mir-100	77239	6086.563336	Y
hsa-mir-101-1	10279	810.002519	N
hsa-mir-101-2	11088	873.753082	N
hsa-mir-103a-1	49188	3876.097274	Y
hsa-mir-103a-2	50867	4008.405303	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	183	14.420708	Y
hsa-mir-106b	8903	701.571400	N
hsa-mir-107	3858	304.016900	Y
hsa-mir-10a	307177	24206.065145	N
hsa-mir-10b	314074	24749.560365	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	0.472810	N
hsa-mir-1180	336	26.477366	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.236405	N
hsa-mir-1185-2	9	0.709215	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	8	0.630413	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	13	1.024422	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	0.472810	N
hsa-mir-1229	3	0.236405	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.157603	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.078802	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	0.709215	N
hsa-mir-1245b	4	0.315207	N
hsa-mir-1246	3	0.236405	N
hsa-mir-1247	6	0.472810	N
hsa-mir-1248	41	3.230869	N
hsa-mir-1249	134	10.559426	N
hsa-mir-1250	14	1.103224	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	18	1.418430	N
hsa-mir-1254-2	16	1.260827	N
hsa-mir-1255a	9	0.709215	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	170426	13429.855941	N
hsa-mir-125b-1	60077	4734.168820	N
hsa-mir-125b-2	61375	4836.453407	N
hsa-mir-126	14955	1178.479197	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	35	2.758059	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	12	0.945620	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.236405	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	511	40.267661	N
hsa-mir-1269b	414	32.623898	N
hsa-mir-127	1306	102.915000	N
hsa-mir-1270	95	7.486160	N
hsa-mir-1271	3294	259.572750	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	12	0.945620	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2737	215.680211	N
hsa-mir-128-2	1855	146.177125	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	14	1.103224	N
hsa-mir-1285-1	2	0.157603	N
