miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	207120	22541.475139	N
hsa-let-7a-2	198326	21584.398409	Y
hsa-let-7a-3	198354	21587.445730	N
hsa-let-7b	58721	6390.778108	N
hsa-let-7c	14691	1598.864481	Y
hsa-let-7d	42478	4623.004929	N
hsa-let-7e	21705	2362.218607	N
hsa-let-7f-1	227572	24767.326093	N
hsa-let-7f-2	244402	26598.984197	N
hsa-let-7g	193270	21034.139147	N
hsa-let-7i	64041	6969.769261	N
hsa-mir-1-1	868	94.466978	N
hsa-mir-1-2	996	108.397592	N
hsa-mir-100	37148	4042.925446	Y
hsa-mir-101-1	15111	1644.574309	N
hsa-mir-101-2	16687	1816.094996	N
hsa-mir-103a-1	69453	7558.773044	Y
hsa-mir-103a-2	73560	8005.749861	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.108833	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	169	18.392764	Y
hsa-mir-106b	10177	1107.592664	N
hsa-mir-107	11650	1267.903560	Y
hsa-mir-10a	127131	13836.038412	N
hsa-mir-10b	312489	34009.091467	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.544165	N
hsa-mir-1180	749	81.515860	N
hsa-mir-1181	1	0.108833	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.217666	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.217666	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	783	85.216179	N
hsa-mir-1224	0	0.000000	N
