miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	188614	21566.979769	N
hsa-let-7a-2	179892	20569.666751	Y
hsa-let-7a-3	180977	20693.730569	N
hsa-let-7b	70573	8069.636735	N
hsa-let-7c	8996	1028.643420	Y
hsa-let-7d	29087	3325.939435	N
hsa-let-7e	17378	1987.079296	N
hsa-let-7f-1	175905	20113.775097	N
hsa-let-7f-2	194358	22223.774767	N
hsa-let-7g	155516	17782.404412	N
hsa-let-7i	42426	4851.181162	N
hsa-mir-1-1	1172	134.011793	N
hsa-mir-1-2	1268	144.988868	N
hsa-mir-100	78344	8958.208102	Y
hsa-mir-101-1	50928	5823.338382	N
hsa-mir-101-2	53858	6158.367864	N
hsa-mir-103a-1	60170	6880.110557	Y
hsa-mir-103a-2	62532	7150.192345	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	421	48.139048	Y
hsa-mir-106b	18277	2089.875032	N
hsa-mir-107	7639	873.477888	Y
hsa-mir-10a	37797	4321.880318	N
hsa-mir-10b	271815	31080.559268	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	10	1.143445	N
hsa-mir-1180	1018	116.402735	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	1	0.114345	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.343034	N
hsa-mir-1185-2	1	0.114345	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	12055	1378.423347	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	11	1.257790	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	26	2.972958	N
hsa-mir-1229	13	1.486479	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	57	6.517638	N
hsa-mir-124-2	78	8.918874	N
hsa-mir-124-3	57	6.517638	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	25	2.858613	N
hsa-mir-1248	28	3.201647	N
hsa-mir-1249	105	12.006176	N
hsa-mir-1250	19	2.172546	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.343034	N
hsa-mir-1254-2	3	0.343034	N
hsa-mir-1255a	20	2.286891	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.114345	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	128894	14738.324251	N
hsa-mir-125b-1	31468	3598.193768	N
hsa-mir-125b-2	31592	3612.372490	N
hsa-mir-126	115290	13182.781223	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	18	2.058202	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	39	4.459437	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	0.571723	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	165	18.866848	N
hsa-mir-1270	745	85.186677	N
hsa-mir-1271	2356	269.395720	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.114345	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	4	0.457378	N
hsa-mir-1276	2	0.228689	N
hsa-mir-1277	14	1.600823	N
hsa-mir-1278	16	1.829513	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4430	506.546282	N
hsa-mir-128-2	2631	300.840467	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	17	1.943857	N
hsa-mir-1285-1	3	0.343034	N
hsa-mir-1285-2	1	0.114345	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	80	9.147563	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	1	0.114345	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	45	5.145504	N
hsa-mir-1292	39	4.459437	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	7	0.800412	N
hsa-mir-1295a	74	8.461495	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	130	14.864789	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	15	1.715168	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	881	100.737534	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	18	2.058202	N
hsa-mir-1304	16	1.829513	N
hsa-mir-1305	2	0.228689	N
hsa-mir-1306	73	8.347151	N
hsa-mir-1307	1054	120.519138	N
hsa-mir-130a	873	99.822777	N
hsa-mir-130b	768	87.816601	N
hsa-mir-132	1097	125.435953	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	139	15.893890	Y
hsa-mir-133a-2	159	18.180781	N
hsa-mir-133b	1	0.114345	Y
hsa-mir-134	11	1.257790	N
hsa-mir-1343	17	1.943857	N
hsa-mir-135a-1	112	12.806588	N
