miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	282724	22320.676445	N
hsa-let-7a-2	278988	22025.724310	Y
hsa-let-7a-3	278924	22020.671597	N
hsa-let-7b	135969	10734.568185	N
hsa-let-7c	34409	2716.543894	Y
hsa-let-7d	50693	4002.143614	N
hsa-let-7e	22858	1804.608106	N
hsa-let-7f-1	189266	14942.294068	N
hsa-let-7f-2	197103	15561.014591	N
hsa-let-7g	233833	18460.798288	N
hsa-let-7i	87439	6903.190488	N
hsa-mir-1-1	8793	694.195427	N
hsa-mir-1-2	9478	748.275248	N
hsa-mir-100	236487	18670.327989	Y
hsa-mir-101-1	12350	975.015754	N
hsa-mir-101-2	13704	1081.912218	N
hsa-mir-103a-1	76929	6073.440239	Y
hsa-mir-103a-2	80440	6350.628929	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.236846	N
hsa-mir-105-2	2	0.157897	N
hsa-mir-106a	340	26.842539	Y
hsa-mir-106b	10437	823.986998	N
hsa-mir-107	8940	705.800878	Y
hsa-mir-10a	234562	18518.351849	N
hsa-mir-10b	393967	31103.160456	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.394743	N
hsa-mir-1180	337	26.605693	N
hsa-mir-1181	3	0.236846	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	15	1.184230	N
hsa-mir-1185-2	4	0.315795	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	9	0.710538	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	482	38.053246	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	31	2.447408	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	0.631589	N
hsa-mir-1229	15	1.184230	N
hsa-mir-1231	2	0.157897	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.315795	N
hsa-mir-1236	2	0.157897	N
hsa-mir-1237	2	0.157897	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	5	0.394743	N
hsa-mir-124-2	7	0.552641	N
hsa-mir-124-3	6	0.473692	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	11	0.868435	N
hsa-mir-1245b	10	0.789486	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	28	2.210562	N
hsa-mir-1248	20	1.578973	N
hsa-mir-1249	235	18.552931	N
hsa-mir-1250	9	0.710538	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	13	1.026332	N
hsa-mir-1254-2	8	0.631589	N
hsa-mir-1255a	16	1.263178	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.078949	N
hsa-mir-125a	238070	18795.303693	N
hsa-mir-125b-1	152702	12055.615846	N
hsa-mir-125b-2	150468	11879.244575	N
hsa-mir-126	49483	3906.615754	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	33	2.605305	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	0.473692	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.157897	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	10	0.789486	N
hsa-mir-1269b	5	0.394743	N
hsa-mir-127	4069	321.242033	N
hsa-mir-1270	78	6.157994	N
hsa-mir-1271	1842	145.423402	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
