miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	94902	9079.855020	N
hsa-let-7a-2	91337	8738.769657	Y
hsa-let-7a-3	92384	8838.942553	N
hsa-let-7b	70633	6757.891295	N
hsa-let-7c	17815	1704.470055	Y
hsa-let-7d	15689	1501.062627	N
hsa-let-7e	6660	637.202951	N
hsa-let-7f-1	134483	12866.811476	N
hsa-let-7f-2	143208	13701.585612	N
hsa-let-7g	242794	23229.587572	N
hsa-let-7i	35135	3361.580432	N
hsa-mir-1-1	2628	251.436840	N
hsa-mir-1-2	2766	264.640144	N
hsa-mir-100	50296	4812.126068	Y
hsa-mir-101-1	26811	2565.172419	N
hsa-mir-101-2	28889	2763.987394	N
hsa-mir-103a-1	50206	4803.515217	Y
hsa-mir-103a-2	51621	4938.896925	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	195	18.656843	Y
hsa-mir-106b	5214	498.855283	N
hsa-mir-107	5244	501.725567	Y
hsa-mir-10a	887396	84902.605060	N
hsa-mir-10b	757200	72445.957105	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.191352	N
hsa-mir-1180	211	20.187661	N
hsa-mir-1181	2	0.191352	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	20	1.913522	N
hsa-mir-1185-2	3	0.287028	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.191352	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.191352	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	31	2.965960	N
hsa-mir-1227	1	0.095676	N
hsa-mir-1228	6	0.574057	N
hsa-mir-1229	1	0.095676	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
