miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	242932	17906.745052	N
hsa-let-7a-2	238405	17573.055646	Y
hsa-let-7a-3	239145	17627.601738	N
hsa-let-7b	77317	5699.108422	N
hsa-let-7c	39687	2925.365908	Y
hsa-let-7d	52879	3897.760573	N
hsa-let-7e	18368	1353.922468	N
hsa-let-7f-1	296111	21826.618906	N
hsa-let-7f-2	307036	22631.910879	N
hsa-let-7g	334788	24677.536769	N
hsa-let-7i	121467	8953.446237	N
hsa-mir-1-1	4307	317.473000	N
hsa-mir-1-2	4491	331.035813	N
hsa-mir-100	40294	2970.108446	Y
hsa-mir-101-1	58746	4330.222634	N
hsa-mir-101-2	61497	4533.001418	N
hsa-mir-103a-1	95927	7070.868937	Y
hsa-mir-103a-2	98597	7267.677135	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	375	27.641601	Y
hsa-mir-106b	15380	1133.674192	N
hsa-mir-107	9519	701.654398	Y
hsa-mir-10a	85590	6308.918994	N
hsa-mir-10b	416086	30670.088427	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.368555	N
hsa-mir-1180	863	63.612538	N
hsa-mir-1181	1	0.073711	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.368555	N
hsa-mir-1185-2	5	0.368555	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.221133	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	665	49.017772	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	53	3.906680	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	77	5.675742	N
hsa-mir-1229	42	3.095859	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	10	0.737109	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	19	1.400508	N
hsa-mir-124-2	18	1.326797	N
hsa-mir-124-3	20	1.474219	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.294844	N
hsa-mir-1245b	1	0.073711	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	144	10.614375	N
hsa-mir-1248	25	1.842773	N
hsa-mir-1249	293	21.597304	N
hsa-mir-1250	51	3.759258	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	13	0.958242	N
hsa-mir-1254-2	3	0.221133	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	9	0.663398	N
hsa-mir-1257	1	0.073711	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	243347	17937.335090	N
hsa-mir-125b-1	75916	5595.839401	N
hsa-mir-125b-2	77440	5708.174867	N
hsa-mir-126	269235	19845.563796	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	9	0.663398	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	17	1.253086	N
