miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	180983	22055.690854	N
hsa-let-7a-2	178647	21771.011664	N
hsa-let-7a-3	177856	21674.615586	N
hsa-let-7b	64623	7875.352437	N
hsa-let-7c	34916	4255.076454	N
hsa-let-7d	47400	5776.452741	N
hsa-let-7e	20565	2506.176174	N
hsa-let-7f-1	151092	18412.991510	N
hsa-let-7f-2	161894	19729.389032	N
hsa-let-7g	191610	23350.761809	N
hsa-let-7i	81694	9955.728486	N
hsa-mir-1-1	1630	198.641729	N
hsa-mir-1-2	1711	208.512883	N
hsa-mir-100	37852	4612.875299	Y
hsa-mir-101-1	12851	1566.101143	N
hsa-mir-101-2	13850	1687.845369	N
hsa-mir-103a-1	75236	9168.717267	Y
hsa-mir-103a-2	76634	9339.086063	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	212	25.835611	Y
hsa-mir-106b	13273	1617.528634	N
hsa-mir-107	6320	770.193699	Y
hsa-mir-10a	78801	9603.169883	N
hsa-mir-10b	313521	38207.578901	N
hsa-mir-1178	4	0.487464	N
hsa-mir-1179	22	2.681054	N
hsa-mir-1180	784	95.543016	N
hsa-mir-1181	5	0.609330	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	16	1.949857	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2561	312.099061	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	11	1.340527	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.365598	N
hsa-mir-1229	47	5.727706	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	13	1.584259	N
hsa-mir-124-2	13	1.584259	N
hsa-mir-124-3	9	1.096795	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	119	14.502065	N
hsa-mir-1248	12	1.462393	N
hsa-mir-1249	122	14.867663	N
hsa-mir-1250	40	4.874644	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.731197	N
hsa-mir-1254-2	5	0.609330	N
hsa-mir-1255a	19	2.315456	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.121866	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	177276	21603.933252	N
hsa-mir-125b-1	39857	4857.216812	N
hsa-mir-125b-2	40527	4938.867094	N
hsa-mir-126	134119	16344.558338	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	31	3.777849	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	12	1.462393	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.243732	N
hsa-mir-1269b	1	0.121866	N
hsa-mir-127	325	39.606480	N
hsa-mir-1270	990	120.647431	N
hsa-mir-1271	2194	267.374205	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	5	0.609330	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	8	0.974929	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	22	2.681054	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3612	440.180323	N
hsa-mir-128-2	2401	292.600486	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.121866	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	17	2.071724	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	39	4.752778	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	3	0.365598	N
hsa-mir-129-2	3	0.365598	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	49	5.971438	N
hsa-mir-1292	4	0.487464	N
hsa-mir-1293	3	0.365598	N
hsa-mir-1294	20	2.437322	N
hsa-mir-1295a	60	7.311965	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	149	18.158048	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.121866	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	666	81.162817	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	11	1.340527	N
hsa-mir-1304	13	1.584259	N
hsa-mir-1305	7	0.853063	N
hsa-mir-1306	144	17.548717	N
hsa-mir-1307	1118	136.246290	N
hsa-mir-130a	523	63.735966	N
hsa-mir-130b	1055	128.568727	N
hsa-mir-132	1867	227.523993	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	23	2.802920	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	510	62.151707	N
hsa-mir-133a-2	570	69.463672	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	75	9.139957	N
hsa-mir-1343	14	1.706125	N
hsa-mir-135a-1	348	42.409400	N
hsa-mir-135a-2	460	56.058402	N
hsa-mir-135b	586	71.413530	N
hsa-mir-136	169	20.595369	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	2	0.243732	N
hsa-mir-138-2	15	1.827991	N
hsa-mir-139	8591	1046.951593	N
hsa-mir-140	126802	15452.864146	N
hsa-mir-141	13	1.584259	N
hsa-mir-142	3849	469.062587	N
hsa-mir-143	434915	53001.391223	N
