miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	169840	17745.047837	N
hsa-let-7a-2	167478	17498.263787	Y
hsa-let-7a-3	167102	17458.978943	N
hsa-let-7b	45795	4784.705992	N
hsa-let-7c	16172	1689.666237	Y
hsa-let-7d	35946	3755.672925	N
hsa-let-7e	10186	1064.243154	N
hsa-let-7f-1	219059	22887.496668	N
hsa-let-7f-2	230476	24080.355896	N
hsa-let-7g	262997	27478.181500	N
hsa-let-7i	64385	6727.007213	N
hsa-mir-1-1	1574	164.453046	N
hsa-mir-1-2	1723	180.020710	N
hsa-mir-100	97450	10181.670465	Y
hsa-mir-101-1	48524	5069.834558	N
hsa-mir-101-2	51294	5359.246843	N
hsa-mir-103a-1	79414	8297.251701	Y
hsa-mir-103a-2	83474	8721.444437	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	494	51.613599	Y
hsa-mir-106b	15933	1664.695285	N
hsa-mir-107	11505	1202.053553	Y
hsa-mir-10a	43203	4513.891320	N
hsa-mir-10b	344514	35995.156680	N
hsa-mir-1178	1	0.104481	N
hsa-mir-1179	7	0.731367	N
hsa-mir-1180	632	66.031973	N
hsa-mir-1181	4	0.417924	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.208962	N
hsa-mir-1185-2	5	0.522405	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5399	564.092754	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	29	3.029948	N
hsa-mir-1227	0	0.000000	N
