miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	269530	18495.836224	N
hsa-let-7a-2	257743	17686.982213	Y
hsa-let-7a-3	258865	17763.976715	N
hsa-let-7b	60189	4130.322734	N
hsa-let-7c	37196	2552.484414	Y
hsa-let-7d	50914	3493.848572	N
hsa-let-7e	20942	1437.093467	N
hsa-let-7f-1	303607	20834.286901	N
hsa-let-7f-2	331686	22761.139516	N
hsa-let-7g	288190	19776.333029	N
hsa-let-7i	95324	6541.376070	N
hsa-mir-1-1	2270	155.773191	N
hsa-mir-1-2	2415	165.723461	N
hsa-mir-100	92555	6351.360226	Y
hsa-mir-101-1	77746	5335.128865	N
hsa-mir-101-2	85839	5890.491172	N
hsa-mir-103a-1	90125	6184.607427	Y
hsa-mir-103a-2	92670	6359.251819	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.068623	N
hsa-mir-105-2	2	0.137245	N
hsa-mir-106a	503	34.517143	Y
hsa-mir-106b	21001	1441.142198	N
hsa-mir-107	10210	700.636248	Y
hsa-mir-10a	259504	17807.826525	N
hsa-mir-10b	525102	36033.838878	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.343113	N
hsa-mir-1180	671	46.045732	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	0.617603	N
hsa-mir-1185-2	6	0.411735	N
hsa-mir-1193	2	0.137245	N
hsa-mir-1197	4	0.274490	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2905	199.348511	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	26	1.784186	N
hsa-mir-1227	1	0.068623	N
hsa-mir-1228	18	1.235206	N
hsa-mir-1229	7	0.480358	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.137245	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.137245	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	9	0.617603	N
hsa-mir-124-2	7	0.480358	N
hsa-mir-124-3	3	0.205868	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.137245	N
hsa-mir-1245b	4	0.274490	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	57	3.911485	N
hsa-mir-1248	17	1.166583	N
hsa-mir-1249	151	10.362005	N
hsa-mir-1250	40	2.744902	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	16	1.097961	N
hsa-mir-1254-2	16	1.097961	N
hsa-mir-1255a	33	2.264544	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	361832	24829.834944	N
hsa-mir-125b-1	88951	6104.044551	N
hsa-mir-125b-2	89001	6107.475679	N
hsa-mir-126	374961	25730.780419	N
hsa-mir-1260a	2	0.137245	N
hsa-mir-1260b	31	2.127299	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	30	2.058677	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	0.411735	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	819	56.201869	N
hsa-mir-1270	335	22.988555	N
hsa-mir-1271	3719	255.207268	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.137245	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	3	0.205868	N
hsa-mir-1275	2	0.137245	N
hsa-mir-1276	5	0.343113	N
hsa-mir-1277	8	0.548980	N
hsa-mir-1278	18	1.235206	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	6206	425.871553	N
hsa-mir-128-2	3579	245.600111	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	15	1.029338	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	65	4.460466	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	1	0.068623	N
hsa-mir-1289-2	2	0.137245	N
hsa-mir-129-1	11	0.754848	N
hsa-mir-129-2	18	1.235206	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	101	6.930878	N
hsa-mir-1292	32	2.195922	N
hsa-mir-1293	3	0.205868	N
hsa-mir-1294	8	0.548980	N
hsa-mir-1295a	20	1.372451	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	489	33.556428	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1021	70.063625	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	4	0.274490	N
hsa-mir-1304	34	2.333167	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	179	12.283437	N
hsa-mir-1307	927	63.613105	N
hsa-mir-130a	1324	90.856258	N
hsa-mir-130b	1183	81.180478	N
hsa-mir-132	1320	90.581768	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	331	22.714064	Y
hsa-mir-133a-2	357	24.498251	N
hsa-mir-133b	1	0.068623	Y
hsa-mir-134	47	3.225260	N
hsa-mir-1343	9	0.617603	N
hsa-mir-135a-1	282	19.351559	N
hsa-mir-135a-2	333	22.851310	N
hsa-mir-135b	5286	362.738806	N
hsa-mir-136	238	16.332167	N
hsa-mir-137	11	0.754848	N
hsa-mir-138-1	10	0.686226	N
hsa-mir-138-2	1	0.068623	N
hsa-mir-139	9326	639.973912	N
hsa-mir-140	69652	4779.697936	N
hsa-mir-141	17	1.166583	N
hsa-mir-142	6506	446.458318	N
hsa-mir-143	652541	44779.028180	N
hsa-mir-144	5128	351.896443	N
hsa-mir-145	70703	4851.820237	N
hsa-mir-1468	192	13.175530	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	6195	425.116705	N
hsa-mir-146b	14557	998.938478	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	20	1.372451	N
hsa-mir-148a	19495	1337.796636	N
hsa-mir-148b	7202	494.219614	N
hsa-mir-149	348	23.880648	N
hsa-mir-150	7645	524.619404	N
hsa-mir-151a	38305	2628.586824	N
hsa-mir-151b	550	37.742403	N
hsa-mir-152	5544	380.443424	N
hsa-mir-153-1	4	0.274490	N
hsa-mir-153-2	5	0.343113	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	2	0.137245	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	96	6.587765	N
hsa-mir-155	21741	1491.922886	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	4275	293.361406	N
hsa-mir-15b	13713	941.021045	N
hsa-mir-16-1	49420	3391.326480	N
hsa-mir-16-2	50581	3470.997262	N
hsa-mir-17	3995	274.147092	Y
hsa-mir-181a-1	61983	4253.431591	N
hsa-mir-181a-2	63927	4386.833830	N
hsa-mir-181b-1	10237	702.489057	N
hsa-mir-181b-2	11934	818.941526	N
hsa-mir-181c	2195	150.626500	N
hsa-mir-181d	686	47.075070	N
hsa-mir-182	2235	153.371402	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	1240	85.091963	N
hsa-mir-184	3	0.205868	N
hsa-mir-185	4609	316.281338	N
hsa-mir-186	16205	1112.028442	N
hsa-mir-187	27	1.852809	N
hsa-mir-188	31	2.127299	N
hsa-mir-18a	463	31.772241	Y
hsa-mir-18b	7	0.480358	Y
hsa-mir-1908	13	0.892093	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	2809	192.760746	N
hsa-mir-190b	40	2.744902	N
hsa-mir-191	78580	5392.360073	N
hsa-mir-1910	11	0.754848	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	2	0.137245	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	44466	3051.370361	Y
hsa-mir-193a	4281	293.773142	N
hsa-mir-193b	259	17.773241	N
hsa-mir-194-1	8517	584.458269	N
hsa-mir-194-2	32368	2221.174737	N
hsa-mir-195	16703	1146.202473	N
hsa-mir-196a-1	7643	524.482159	N
hsa-mir-196a-2	20705	1420.829923	N
hsa-mir-196b	6327	434.174881	N
hsa-mir-197	3495	239.835816	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	42	2.882147	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	15224	1044.709719	Y
hsa-mir-199a-2	25833	1772.726365	Y
hsa-mir-199b	33087	2270.514351	Y
hsa-mir-19a	1295	88.866204	N
hsa-mir-19b-1	4567	313.399191	N
hsa-mir-19b-2	4683	321.359407	N
hsa-mir-200a	26462	1815.889950	N
hsa-mir-200b	46884	3217.299690	N
hsa-mir-200c	629	43.163585	N
hsa-mir-202	131	8.989554	N
hsa-mir-203a	1332	91.405238	N
hsa-mir-203b	11	0.754848	N
hsa-mir-204	62669	4300.506661	N
hsa-mir-205	148	10.156138	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	4	0.274490	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	15452	1060.355661	N
hsa-mir-20b	188	12.901040	N
