miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	273608	16801.454069	N
hsa-let-7a-2	270062	16583.704749	Y
hsa-let-7a-3	272474	16731.818500	N
hsa-let-7b	102449	6291.088594	N
hsa-let-7c	47125	2893.806186	Y
hsa-let-7d	56988	3499.463702	N
hsa-let-7e	45318	2782.843687	N
hsa-let-7f-1	274056	16828.964418	N
hsa-let-7f-2	285238	17515.617803	N
hsa-let-7g	379244	23288.246861	N
hsa-let-7i	133680	8208.891480	N
hsa-mir-1-1	956	58.705119	N
hsa-mir-1-2	1000	61.407028	N
hsa-mir-100	43866	2693.680683	Y
hsa-mir-101-1	23642	1451.784952	N
hsa-mir-101-2	25322	1554.948759	N
hsa-mir-103a-1	134705	8271.833683	Y
hsa-mir-103a-2	139654	8575.737064	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	777	47.713261	Y
hsa-mir-106b	29827	1831.587419	N
hsa-mir-107	10677	655.642836	Y
hsa-mir-10a	209372	12856.912230	N
hsa-mir-10b	327797	20129.039500	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	2145	131.718075	N
hsa-mir-1181	9	0.552663	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	0.552663	N
hsa-mir-1185-2	6	0.368442	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.184221	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	8270	507.836120	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	151	9.272461	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	79	4.851155	N
hsa-mir-1229	52	3.193165	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	14	0.859698	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.061407	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	27	1.657990	N
hsa-mir-124-2	25	1.535176	N
hsa-mir-124-3	27	1.657990	N
hsa-mir-1243	8	0.491256	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	33	2.026432	N
hsa-mir-1245b	4	0.245628	N
hsa-mir-1246	1	0.061407	N
hsa-mir-1247	41	2.517688	N
hsa-mir-1248	45	2.763316	N
hsa-mir-1249	389	23.887334	N
hsa-mir-1250	117	7.184622	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	39	2.394874	N
hsa-mir-1254-2	50	3.070351	N
hsa-mir-1255a	76	4.666934	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	5	0.307035	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	393817	24183.131477	N
hsa-mir-125b-1	90530	5559.178229	N
hsa-mir-125b-2	93307	5729.705545	N
hsa-mir-126	91033	5590.065964	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	245	15.044722	N
