miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	234449	15272.978374	N
hsa-let-7a-2	231315	15068.816640	Y
hsa-let-7a-3	231287	15066.992605	N
hsa-let-7b	82429	5369.766279	N
hsa-let-7c	34666	2258.286742	Y
hsa-let-7d	37902	2469.093177	N
hsa-let-7e	22466	1463.528239	N
hsa-let-7f-1	220516	14365.325077	N
hsa-let-7f-2	231501	15080.933450	N
hsa-let-7g	336495	21920.677238	N
hsa-let-7i	105270	6857.723571	N
hsa-mir-1-1	10627	692.286771	N
hsa-mir-1-2	11659	759.515523	N
hsa-mir-100	112373	7320.442394	Y
hsa-mir-101-1	70505	4592.987559	N
hsa-mir-101-2	72623	4730.962847	N
hsa-mir-103a-1	87125	5675.683158	Y
hsa-mir-103a-2	89947	5859.519920	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	617	40.193934	Y
hsa-mir-106b	22764	1482.941193	N
hsa-mir-107	8809	573.854725	Y
hsa-mir-10a	131481	8565.216612	N
hsa-mir-10b	452024	29446.714537	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	9	0.586297	N
hsa-mir-1180	1009	65.730437	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	22	1.433171	N
hsa-mir-1185-2	12	0.781730	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.260577	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	961	62.603518	N
hsa-mir-1224	7	0.456009	N
hsa-mir-1225	1	0.065144	N
hsa-mir-1226	25	1.628603	N
hsa-mir-1227	1	0.065144	N
hsa-mir-1228	20	1.302883	N
hsa-mir-1229	5	0.325721	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.195432	N
hsa-mir-1236	2	0.130288	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	10	0.651441	N
hsa-mir-124-2	11	0.716586	N
hsa-mir-124-3	7	0.456009	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	12	0.781730	N
hsa-mir-1245b	5	0.325721	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	52	3.387495	N
hsa-mir-1248	26	1.693748	N
hsa-mir-1249	107	6.970423	N
hsa-mir-1250	23	1.498315	N
hsa-mir-1251	3	0.195432	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.195432	N
hsa-mir-1254-2	4	0.260577	N
hsa-mir-1255a	24	1.563459	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	4	0.260577	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.130288	N
hsa-mir-125a	217231	14151.326579	N
hsa-mir-125b-1	76788	5002.288188	N
hsa-mir-125b-2	77219	5030.365312	N
hsa-mir-126	169315	11029.879988	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	36	2.345189	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	19	1.237739	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	0.325721	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	8	0.521153	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1980	128.985396	N
hsa-mir-1270	247	16.090602	N
hsa-mir-1271	3314	215.887678	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	4	0.260577	N
hsa-mir-1277	3	0.195432	N
hsa-mir-1278	25	1.628603	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5177	337.251210	N
hsa-mir-128-2	3592	233.997749	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	12	0.781730	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	88	5.732684	N
hsa-mir-1288	5	0.325721	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	1	0.065144	N
hsa-mir-129-1	6	0.390865	N
hsa-mir-129-2	16	1.042306	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	37	2.410333	N
hsa-mir-1292	57	3.713216	N
hsa-mir-1293	1	0.065144	N
hsa-mir-1294	11	0.716586	N
hsa-mir-1295a	48	3.126919	N
hsa-mir-1295b	7	0.456009	N
hsa-mir-1296	413	26.904530	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	8	0.521153	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	758	49.379258	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	6	0.390865	N
hsa-mir-1304	40	2.605766	N
hsa-mir-1305	2	0.130288	N
hsa-mir-1306	80	5.211531	N
hsa-mir-1307	1355	88.270309	N
hsa-mir-130a	941	61.300635	N
hsa-mir-130b	1114	72.570571	N
hsa-mir-132	2282	148.658926	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	1	0.065144	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	1318	85.859976	Y
hsa-mir-133a-2	1168	76.088355	Y
hsa-mir-133b	15	0.977162	Y
hsa-mir-134	113	7.361288	N
hsa-mir-1343	14	0.912018	N
hsa-mir-135a-1	1195	77.847247	N
hsa-mir-135a-2	1364	88.856606	N
hsa-mir-135b	2188	142.535377	N
hsa-mir-136	441	28.728566	N
hsa-mir-137	3	0.195432	N
hsa-mir-138-1	41	2.670910	N
hsa-mir-138-2	18	1.172595	N
hsa-mir-139	4202	273.735674	N
hsa-mir-140	87222	5682.002140	N
hsa-mir-141	36	2.345189	N
hsa-mir-142	14957	974.360895	N
hsa-mir-143	1268238	82618.273257	N
hsa-mir-144	19642	1279.561189	N
hsa-mir-145	88808	5785.320745	N
hsa-mir-1468	108	7.035567	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	4355	283.702728	N
hsa-mir-146b	102033	6646.851991	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	26	1.693748	N
hsa-mir-148a	55008	3583.448828	N
hsa-mir-148b	9393	611.898903	N
hsa-mir-149	665	43.320853	N
hsa-mir-150	11385	741.666029	N
hsa-mir-151a	29767	1939.145602	N
hsa-mir-151b	181	11.791089	N
hsa-mir-152	10692	696.521140	N
hsa-mir-153-1	7	0.456009	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	2	0.130288	N
hsa-mir-1538	4	0.260577	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	193	12.572819	N
hsa-mir-155	14111	919.248953	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	3186	207.549229	N
hsa-mir-15b	34700	2260.501642	N
hsa-mir-16-1	57793	3764.875257	N
hsa-mir-16-2	61618	4014.051591	N
hsa-mir-17	3425	223.118678	Y
hsa-mir-181a-1	24161	1573.947556	Y
hsa-mir-181a-2	25257	1645.345533	N
hsa-mir-181b-1	4715	307.154618	N
hsa-mir-181b-2	5653	368.259821	N
hsa-mir-181c	813	52.962185	Y
hsa-mir-181d	394	25.666791	N
hsa-mir-182	10769	701.537239	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	6568	427.866709	N
hsa-mir-184	17	1.107450	N
hsa-mir-185	7669	499.590406	N
hsa-mir-186	21604	1407.373991	N
hsa-mir-187	33	2.149757	N
hsa-mir-188	10	0.651441	N
hsa-mir-18a	522	34.005241	Y
hsa-mir-18b	14	0.912018	Y
hsa-mir-1908	12	0.781730	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	842	54.851366	N
hsa-mir-190b	41	2.670910	N
hsa-mir-191	74602	4859.883099	N
hsa-mir-1910	11	0.716586	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	30148	1963.965519	Y
hsa-mir-193a	3418	222.662669	N
hsa-mir-193b	611	39.803069	N
hsa-mir-194-1	7875	513.010099	N
hsa-mir-194-2	20714	1349.395707	N
hsa-mir-195	21000	1368.026931	N
hsa-mir-196a-1	3906	254.453009	N
hsa-mir-196a-2	8008	521.674270	N
hsa-mir-196b	4257	277.318602	N
hsa-mir-197	3601	234.584047	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	27	1.758892	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	50653	3299.746101	Y
hsa-mir-199a-2	87856	5723.303524	Y
hsa-mir-199b	116736	7604.666275	Y
hsa-mir-19a	866	56.414825	N
hsa-mir-19b-1	2557	166.573565	N
hsa-mir-19b-2	2636	171.719952	N
hsa-mir-200a	8943	582.584040	N
hsa-mir-200b	39197	2553.454838	N
hsa-mir-200c	1906	124.164730	N
hsa-mir-202	1	0.065144	N
hsa-mir-203a	410	26.709097	N
hsa-mir-203b	3	0.195432	N
hsa-mir-204	6358	414.186439	N
hsa-mir-205	54	3.517784	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	1	0.065144	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	10995	716.259814	N
hsa-mir-20b	509	33.158367	N
hsa-mir-21	4763578	310319.189998	N
hsa-mir-210	2065	134.522648	N
hsa-mir-211	113	7.361288	N
hsa-mir-2110	229	14.918008	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	3	0.195432	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	43	2.801198	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	273	17.784350	N
hsa-mir-214	6297	410.212647	N
hsa-mir-215	104	6.774991	Y
hsa-mir-216a	80	5.211531	N
hsa-mir-216b	7	0.456009	N
hsa-mir-217	260	16.937476	N
hsa-mir-218-1	1451	94.524146	N
hsa-mir-218-2	1358	88.465742	N
hsa-mir-219a-1	2	0.130288	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	0	0.000000	N
hsa-mir-22	24387	1588.670131	N
hsa-mir-221	33242	2165.521487	N
hsa-mir-222	21752	1417.015324	N
hsa-mir-223	10670	695.087969	N
hsa-mir-224	12296	801.012340	N
hsa-mir-2276	1	0.065144	N
hsa-mir-2277	64	4.169225	N
