miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	106122	11434.203765	N
hsa-let-7a-2	103839	11188.220018	Y
hsa-let-7a-3	104265	11234.119745	N
hsa-let-7b	31909	3438.061928	N
hsa-let-7c	10995	1184.665483	Y
hsa-let-7d	21549	2321.815052	N
hsa-let-7e	8351	899.785489	N
hsa-let-7f-1	142226	15324.259482	N
hsa-let-7f-2	151503	16323.817616	N
hsa-let-7g	130976	14112.118810	N
hsa-let-7i	71182	7669.564204	N
hsa-mir-1-1	873	94.062116	N
hsa-mir-1-2	957	103.112766	N
hsa-mir-100	45023	4851.040841	Y
hsa-mir-101-1	18832	2029.069611	N
hsa-mir-101-2	20136	2169.570184	N
hsa-mir-103a-1	61084	6581.546737	Y
hsa-mir-103a-2	62684	6753.940077	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.107746	N
hsa-mir-105-2	1	0.107746	N
hsa-mir-106a	476	51.287019	Y
hsa-mir-106b	16149	1739.987529	N
hsa-mir-107	6975	751.527216	Y
hsa-mir-10a	75123	8094.190549	N
hsa-mir-10b	218734	23567.678016	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	8	0.861967	N
hsa-mir-1180	477	51.394764	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.107746	N
hsa-mir-1185-2	3	0.323238	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.215492	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	941	101.388833	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	21	2.262663	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	25	2.693646	N
hsa-mir-1229	8	0.861967	N
hsa-mir-1231	3	0.323238	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.323238	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.107746	N
hsa-mir-124-2	3	0.323238	N
hsa-mir-124-3	8	0.861967	N
hsa-mir-1243	2	0.215492	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.430983	N
hsa-mir-1245b	3	0.323238	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	10	1.077458	N
hsa-mir-1248	53	5.710529	N
hsa-mir-1249	102	10.990075	N
hsa-mir-1250	11	1.185204	N
hsa-mir-1251	1	0.107746	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	20	2.154917	N
