miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	338612	47261.913984	N
hsa-let-7a-2	330640	46149.218692	Y
hsa-let-7a-3	331226	46231.009891	N
hsa-let-7b	197614	27582.058137	N
hsa-let-7c	64102	8947.063926	Y
hsa-let-7d	65583	9153.775131	N
hsa-let-7e	52206	7286.674664	N
hsa-let-7f-1	136907	19108.852781	N
hsa-let-7f-2	145062	20247.090376	N
hsa-let-7g	134795	18814.069482	N
hsa-let-7i	40666	5675.974254	N
hsa-mir-1-1	2657	370.851906	N
hsa-mir-1-2	2701	376.993224	N
hsa-mir-100	34483	4812.979398	Y
hsa-mir-101-1	4496	627.531113	N
hsa-mir-101-2	4998	697.597977	N
hsa-mir-103a-1	104957	14649.417936	Y
hsa-mir-103a-2	107821	15049.161954	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	288	40.197723	Y
hsa-mir-106b	6974	973.399018	N
hsa-mir-107	9212	1285.768820	Y
hsa-mir-10a	84340	11771.791388	N
hsa-mir-10b	190316	26563.436682	N
hsa-mir-1178	1	0.139575	N
hsa-mir-1179	4	0.558302	N
hsa-mir-1180	1911	266.728638	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.418726	N
hsa-mir-1185-2	1	0.139575	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3576	499.121722	N
hsa-mir-1224	3	0.418726	N
hsa-mir-1225	4	0.558302	N
hsa-mir-1226	84	11.724336	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	39	5.443442	N
hsa-mir-1229	27	3.768536	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.418726	N
hsa-mir-1236	5	0.697877	N
hsa-mir-1237	9	1.256179	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.139575	N
hsa-mir-124-2	2	0.279151	N
hsa-mir-124-3	2	0.279151	N
hsa-mir-1243	2	0.279151	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.558302	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	199	27.775510	N
hsa-mir-1248	16	2.233207	N
hsa-mir-1249	422	58.900830	N
hsa-mir-1250	18	2.512358	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.418726	N
hsa-mir-1254-2	5	0.697877	N
hsa-mir-1255a	23	3.210235	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.558302	N
hsa-mir-125a	434175	60600.160372	N
hsa-mir-125b-1	76555	10685.196700	N
hsa-mir-125b-2	76162	10630.343558	N
hsa-mir-126	58769	8202.708182	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	29	4.047687	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	25	3.489386	N
hsa-mir-1263	4	0.558302	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	1	0.139575	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	5	0.697877	N
hsa-mir-1269b	1	0.139575	N
hsa-mir-127	998	139.296275	N
hsa-mir-1270	748	104.402418	N
hsa-mir-1271	1284	179.214846	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.139575	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	3	0.418726	N
hsa-mir-1275	8	1.116603	N
hsa-mir-1276	9	1.256179	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	4	0.558302	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3903	544.762886	N
hsa-mir-128-2	2404	335.539323	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	2	0.279151	N
hsa-mir-1283-2	1	0.139575	N
hsa-mir-1284	12	1.674905	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	115	16.051174	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	20	2.791509	N
hsa-mir-129-2	29	4.047687	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	11	1.535330	N
hsa-mir-1292	121	16.888626	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	12	1.674905	N
hsa-mir-1295a	22	3.070659	N
hsa-mir-1295b	16	2.233207	N
