miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	222255	23509.196146	N
hsa-let-7a-2	214047	22640.988538	Y
hsa-let-7a-3	214458	22684.462384	N
hsa-let-7b	65481	6926.303898	N
hsa-let-7c	80447	8509.344232	Y
hsa-let-7d	41158	4353.519583	N
hsa-let-7e	15315	1619.956082	N
hsa-let-7f-1	283603	29998.328743	N
hsa-let-7f-2	301803	31923.447952	N
hsa-let-7g	361886	38278.774186	N
hsa-let-7i	62738	6636.160932	N
hsa-mir-1-1	49	5.183013	N
hsa-mir-1-2	52	5.500341	N
hsa-mir-100	116421	12314.522168	Y
hsa-mir-101-1	21539	2278.304541	N
hsa-mir-101-2	23187	2452.623028	N
hsa-mir-103a-1	108609	11488.201769	Y
hsa-mir-103a-2	112982	11950.759259	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.105776	N
hsa-mir-105-2	1	0.105776	N
hsa-mir-106a	701	74.148822	Y
hsa-mir-106b	10694	1131.166199	N
hsa-mir-107	14229	1505.083584	Y
hsa-mir-10a	153674	16254.987328	N
hsa-mir-10b	128643	13607.313761	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.317327	N
hsa-mir-1180	2160	228.475686	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.423103	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	7	0.740430	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	64	6.769650	N
hsa-mir-1227	5	0.528879	N
hsa-mir-1228	57	6.029220	N
hsa-mir-1229	57	6.029220	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	1	0.105776	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	11	1.163534	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.105776	N
hsa-mir-124-1	13	1.375085	N
hsa-mir-124-2	17	1.798188	N
hsa-mir-124-3	11	1.163534	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.105776	N
hsa-mir-1245b	4	0.423103	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	5	0.528879	N
hsa-mir-1248	54	5.711892	N
