miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	190137	18789.830444	N
hsa-let-7a-2	187403	18519.649488	Y
hsa-let-7a-3	186291	18409.758770	N
hsa-let-7b	66664	6587.909017	N
hsa-let-7c	48193	4762.556991	Y
hsa-let-7d	27675	2734.915127	N
hsa-let-7e	13295	1313.846310	N
hsa-let-7f-1	174478	17242.367536	N
hsa-let-7f-2	184651	18247.689726	N
hsa-let-7g	244423	24154.513465	N
hsa-let-7i	108949	10766.622157	N
hsa-mir-1-1	5091	503.105796	N
hsa-mir-1-2	5473	540.856025	N
hsa-mir-100	80648	7969.844090	Y
hsa-mir-101-1	19329	1910.141806	N
hsa-mir-101-2	20152	1991.472797	N
hsa-mir-103a-1	57841	5715.997322	Y
hsa-mir-103a-2	61137	6041.716572	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.098823	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	349	34.489083	Y
hsa-mir-106b	11553	1141.697361	N
hsa-mir-107	7205	712.016748	Y
hsa-mir-10a	81342	8038.426966	N
hsa-mir-10b	229299	22659.920642	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	10	0.988226	N
hsa-mir-1180	239	23.618599	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	28	2.767032	N
hsa-mir-1185-2	11	1.087048	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	6	0.592936	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	195	19.270405	N
hsa-mir-1224	1	0.098823	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	18	1.778807	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	20	1.976452	N
hsa-mir-1229	2	0.197645	N
hsa-mir-1231	1	0.098823	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	7	0.691758	N
hsa-mir-1236	1	0.098823	N
hsa-mir-1237	1	0.098823	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.098823	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	0.691758	N
hsa-mir-1245b	2	0.197645	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	210	20.752744	N
hsa-mir-1248	26	2.569387	N
hsa-mir-1249	98	9.684614	N
hsa-mir-1250	9	0.889403	N
hsa-mir-1251	0	0.000000	N
